remap_id,entity_name
14706,Those who appreciate European-style cafes
14713,Fans of variety of flavors
14725,lively beach setting
14728,convenient store
14730,unique lunch specials
14731,Customers who enjoy diverse American cuisine
14732,friendly but watchful staff
14735,adult literacy
14736,rare titles
14737,affordable books
14738,Nonprofit bookstore
14741,literacy
14742,New Orleans dishes
14743,"classic, good quality New Orleans dishes"
14746,Jackson Square
14748,overall experience
14755,average service noise issues
14761,Spanokopita
14762,bustling and lively
14767,beach resort
14774,chicken satay
14777,beef rendang
14780,Fans of Taiwanese cuisine
14781,People who appreciate flavorful food
14785,simple hole-in-the-wall experience
14786,decent selection of food
14790,"hearty, flavorful meals"
14792,Reservations due to limited seating
14805,Fans of home-cooked comfort food
14806,Soul food lovers
14808,tropical view
14811,spicy entrees
14813,creative and inspired Mexican dining experience
14819,huge fish tank
14820,innovative menus
14821,VIP experiences
14822,unique features
14828,lackluster decor
14829,individual dining
14833,"cozy, hole-in-the-wall atmosphere"
14835,fresh and flavorful options
14840,conveyor belt sushi
14847,unique coffee blends
14849,lodge vibe
14859,creatively menu items
14860,'I Wanna Tijuana Taco'
14861,Avocado Bacon Quesadilla
14866,duck appetizer
14867,short rib
14868,Fans of American (Traditional) cuisine
14869,great quality coffee
14874,creamy frosting
14881,Gatherings with co-workers
14882,HD Video Wall
14883,Video Wall
14884,large-scale displays
14885,visual experiences
14888,Crowd attraction
14890,"charming, vintage setting"
14892,tourist crowds
14900,Fans of unique meads
14901,Fans of ciders
14903,Supporters of local artisans
14904,Supporters of charities
14906,American cafe
14907,variety of courses
14908,excellent wine pairings
14913,variety of specialty rolls
14924,Users who enjoy neighborhood bars
14925,those seeking a community-centered venue
14926,Local community enjoying neighborhood bars
14930,low key dates
14931,Sunday Funday
14934,jazz vibe
14938,authentic offerings
14948,carne seca
14950,vibrant and colorful
14952,"cozy, family-run setting"
14953,country vibe
14954,Users who enjoy authentic Greek food
14957,hip staff
14958,cash-only establishments
14959,People who enjoy local brunch spots
14960,People who are willing to wait for a table
14962,Users who enjoy American cuisine
14963,Mexican-inspired food
14964,mini vacation feel
14970,varied music genres
14971,alternative nightlife
14972,"individuals seeking a unique, lively, and alternative nightlife experience"
14976,campechana
14978,nice balance of flavors
14985,menu for different preferences
14990,facilities
14992,People who appreciate modern accommodations
14993,People who appreciate artsy accommodations
14994,People who appreciate upscale accommodations
14995,Guests seeking great service
14996,Guests seeking good facilities
14998,"spacious, community-oriented atmosphere"
15000,24-hour breakfast options
15001,vintage diner decor
15003,Runnemede
15005,scenic outdoor dining experience
15015,not oversized portions
15019,"Ybor City, Tampa"
15023,unique selection of items for sale
15025,Users who appreciate stylish coffee spots
15028,locally brewed beer
15033,occasional inconsistencies in appetizers and service
15039,quick food options
15042,Caffe Italiano
15043,Caffe
15050,shrimp po'boy
15051,high-quality bubble tea
15052,fun and pleasant atmosphere
15061,pizza with a modern twist
15064,Fans of fresh salads
15065,Fans of flavorful soups
15066,Fans of gourmet pizzas
15070,adventurous food
15071,food with unique flavor combinations
15076,chai options
15077,alternative milk choices
15078,GF options
15079,Resort & Convention Center
15085,river tours
15086,stunning indoor decor
15091,adventurous dining experiences
15092,Fans of adventurous dining experiences
15093,People seeking authentic Moroccan cuisine
15094,"People looking for lively, engaging meal with entertainment"
15096,transitioning to vegetarian diet
15099,"lovely, group-friendly setting"
15107,farm-to-table offerings
15109,Southern influence
15110,non-sushi options
15111,trendy dining atmosphere
15113,Customers looking for vegetarian options
15114,Customers looking for non-sushi options
15115,"tasty, greasy burgers"
15116,various customization options
15119,well-known comedians
15120,up-and-coming comedians
15121,two-item minimum purchase requirement
15122,reasonable prices for tickets
15128,"intimate, romantic setting"
15131,occasional special treats
15136,trendy nightlife vibes
15139,tasty bites
15143,Individuals seeking authentic flavors
15146,patrons looking for fun
15147,Patrons seeking casual nightlife
15149,affordable Middle Eastern cuisine
15151,underground setting
15157,clean and friendly cafe
15160,Fans of cafes
15161,Beer brewery
15162,friendly taproom setting
15163,pint nights
15164,a bit more for quality brews
15167,genuine staff
15172,delicious and diverse options
15177,convenient grocery shopping
15178,good sense of humor
15182,dining with family and friends
15183,fresh and diverse menu options
15186,local and seasonal ingredients
15188,Kimberton Inn
15191,classic American setting
15192,Sunday brunch
15193,limited food variety
15194,experience
15197,delicious and fresh breakfast items
15198,breakfast with unique flavors
15200,strawberry pancakes
15209,quicker ordering processes
15211,Sabino Canyon
15215,learning about local flora and fauna
15216,diverse hiking trails
15217,trams
15218,scenic picnics
15219,year-long access
15223,central Saint Louis
15224,classic English pubs
15227,relaxing evening
15231,New Orleans style Cajun/Creole cuisine
15233,Boothwyn
15234,Fans of authentic and delicious Cajun/Creole cuisine
15235,authentic and delicious Cajun/Creole cuisine
15245,full bar experience
15247,retro vibes
15250,80's kids
15253,Specialty foods store
15257,Pub & Kitchen
15260,lomo saltado
15262,Peruvian restaurant
15266,delicious fajitas
15267,delicious chimichangas
15270,Viet grilled sandwich
15272,shrimp & pork noodle soup
15275,wide range of beverage choices
15276,specialty menu items
15277,quick caffeine fix
15278,Fans of hipster coffee shops
15279,Thai-style rolled ice cream
15282,Fans of trendy and unique dessert experiences
15286,high-energy cycling classes
15287,lively instructors
15288,themed rides
15291,experienced riders
15292,variety of workouts
15297,lifestyle food
15298,live jazz
15304,Fans of gourmet pizza
15306,mild to spicy dishes
15309,those looking for alterations in spiciness levels
15313,"cozy, colorful ambiance"
15314,Fans of classic Mexican cuisine
15320,Fans of interactive experiences
15329,loyal following
15337,local breakfast spot enthusiasts
15340,Vito the mooch sandwich
15342,Old-school dining
15343,High-end steak lovers
15344,Fans of traditional dining
15345,Supper club experience seekers
15346,Special occasion diners
15347,Individuals who appreciate great food
15357,Chicken Basil
15358,Chicken Panang Curry
15362,amazing cannoli
15364,Cannoli lovers
15372,NY-style pizza fans
15375,half scoops
15377,vegan cheesesteaks
15378,classic cheesesteaks
15385,fresh seafood dishes
15391,premium services
15400,delicious shrimp
15402,pickled onions
15406,hands-on exhibits
15409,Dinosphere
15410,Train's exhibit
15411,Fireworks of Glass
15412,learning and fun
15414,people interested in learning
15415,people interested in fun
15416,willing to pay a bit more for quality
15420,transportation needs
15421,Transportation hub
15423,"cozy, nostalgic atmosphere"
15427,casual and bustling
15428,Users who enjoy soulful meals
15435,art-themed hotels
15436,Users who appreciate unique decor
15437,Travelers seeking convenient location
15438,Guests who like art-themed hotels
15440,"romantic, cozy dining experiences"
15441,impressive wine lists
15443,Users who appreciate romantic dining
15445,packed
15449,different dietary preferences
15452,cozy lounge environment
15455,Fans of handcrafted margaritas
15457,Those who appreciate personalized guacamole
15458,Those who appreciate innovative dishes
15459,traditional American options
15463,distinctive sweet sauce
15464,thick pepperoni
15465,Maryland's Ledo Pizza
15466,St. Louis style pizza
15471,thin fries
15472,nice environment
15477,spicy BBQ sauce
15479,must-try side dishes
15481,yellow rice
15483,Lovers of traditional American Southern BBQ
15488,high-quality wings
15489,convenient prices
15490,local spot
15495,high-quality juice
15496,reasonably priced juice
15501,slightly burnt edge
15502,Fans of delicious coal-fired pizza
15505,prosciutto
15507,broccoli rabe
15511,ordering for special occasions
15515,half priced sushi menu
15516,ample parking space
15517,spacious restaurant environment
15521,car side service
15522,chicken biscuit
15523,grilled chicken wrap
15527,consistent cleanliness
15528,no pretentious atmosphere
15530,Fans of traditional family-owned restaurants
15531,People seeking authentic Italian cuisine
15532,homestyle cafeteria food
15533,cafeteria food
15538,upscale American dining experiences
15546,good icing
15547,moist texture
15552,solid beer choices
15553,laid-back neighborhood
15555,live music concerts
15557,Fans of local Arizona beers
15558,Fans of local wines
15561,Rye
15565,healthier fast food alternatives
15570,belly dancing performances
15572,traditional Greek dishes
15573,unique adaptations
15574,variable
15576,people seeking a tapas experience
15577,People who enjoy lively ambiance
15578,People interested in belly dancing
15583,fun presentations
15587,hand-tossed crusts
15589,addictive flavors
15592,simple surroundings
15593,Fans of custard
15594,People seeking local favorite spots
15595,customizable donuts
15599,flavorful and creative Mexican cuisine
15609,diverse craft beer
15610,healthy pub food
15611,vibrant and eclectic atmosphere
15613,outdoor gardens
15614,outdoor movies
15618,vinyasa flow classes
15621,modern music
15622,hands-on instruction
15624,karma classes
15625,charities
15626,teacher training
15631,lively social scene
15632,Users looking for upscale vibes
15633,Users seeking strong drinks
15639,Malai Kofta
15640,paneer dishes
15643,people who enjoy spicy dishes
15647,those seeking savory options
15649,video rental experience
15650,Video rental store
15652,TV series
15657,trendy haircuts
15658,styling techniques
15659,welcoming salon environment
15660,sophisticated and elegant atmosphere
15661,Hyde Park
15663,Dade City
15664,scary experiences
15665,interactive attractions
15673,fans of local authors
15674,true crime
15675,metaphysical
15676,unique browsing experience
15680,Individuals who appreciate quality burgers
15681,Individuals who appreciate diverse drink options
15683,Individuals who value prompt service
15684,Individuals who value unique burger combinations
15685,Individuals who enjoy fun seating layouts
15686,Individuals who enjoy great fries
15692,food and drink selections
15695,modern and clean atmosphere
15696,higher for quality dessert
15700,Beatles music
15703,exceptional flavor
15704,beauty in food
15706,Fans of eclectic decor
15707,Fans of Beatles music
15710,house drinks
15714,Frozen Yogurt & Smoothies
15717,Fans of creative healthy snacks
15718,Fans of unique froyo flavors
15719,Fans of customizable options
15720,spacious trendy bars
15723,Fans of spacious trendy bars
15724,Users who appreciate diverse menu and high-quality food and drinks
15726,scenic views of the Mississippi River
15727,well-maintained environment
15728,running paths
15729,dog-friendly amenities
15730,Users who enjoy outdoor recreation
15732,Users with dogs
15734,traditional taste
15735,fresh taste
15740,foot treatments
15752,crunchy crust
15753,gooey cheese
15754,large families
15763,easier seating arrangements
15764,cantina feel
15767,movie tickets
15768,older movies
15769,comfortable theaters
15770,variety of concessions
15773,extended hours of operation
15774,well-organized staff
15775,passport center
15776,postal services
15780,unique Italian cuisine
15781,five-star dining experience
15784,Guests seeking a unique dining experience
15788,music-themed atmosphere
15793,cupcake pairings
15797,people seeking unique Thai dishes
15798,tea-related beverages
15800,reading environment
15802,refreshing drink options
15803,hot and cold beverages
15804,extra-spicy dishes
15807,unique ciders
15808,gourmet plates
15810,cozy neighborhood pub setting
15814,flavored shakes
15817,costume
15818,party supplies
15819,party supply
15821,decoration
15824,wide selection of props and accessories
15826,those looking for props and accessories
15827,wide variety of food and drink choices
15830,relaxed hipster ambiance
15835,moderate service
15839,unique breakfast and brunch offerings
15840,Weekend dining
15843,banquet options
15845,flavorful Chinese dishes
15850,"contemporary, eclectic setting"
15853,well-stocked market
15856,Brandywine River Museum of Art
15857,modern art
15859,restored barn
15860,scenic riverside location
15861,Fans of the Wyeth family
15862,people interested in local art
15866,peanut butter pie
15869,busy yet comfortable atmosphere
15870,trendy and unique healthy food options
15874,Wood-Fired Steaks & Seafood
15875,Steak and seafood restaurant
15882,unique flavor profiles
15887,cozy and lively
15892,autism-friendly environment
15894,Supporters of autism awareness
15895,People seeking affordable baked goods
15900,hot and cold tubs
15902,rib tips
15903,tender and flavorful
15904,quality sauces
15906,supporting locally and family-owned business
15909,eggplant parm pizza
15910,veggie cheesesteaks
15911,fake meat
15913,seafood pho
15916,Fans of delicious Vietnamese cuisine
15917,dental procedures
15918,individuals who have had negative experiences with past dentists
15919,people seeking quick and painless dental procedures
15920,modern and welcoming office vibe
15922,dark atmosphere
15925,less mainstream dining experience
15932,affordable stay
15937,next to a gelato spot
15939,excellent wings
15940,high-quality offerings
15942,Users who enjoy high-quality American food
15944,Users who enjoy live jazz music
15952,fried meat dumplings
15953,quick delivery options
15956,unique dessert experience
15958,People who appreciate high-quality desserts
15961,new fruits
15962,new vegetables
15964,different recipes
15965,Market & Farm
15966,brisket tacos
15968,Flavorful and delicious food
15969,busy and touristy locations
15970,citrusy drinks
15971,potent cocktails
15973,party atmosphere
15974,party with friends
15976,Users who enjoy citrusy drinks
15977,Users who prefer cheap cocktails
15978,Users who enjoy partying
15980,"cozy, historic settings"
15981,excellent bruschetta
15983,Crab Stuffed Mushrooms
15984,Salmon BLT
15985,"Fans of cozy, historic settings"
15988,modern industrial setting
15989,carefully curated menus
15997,well-stocked buffet
16000,modern twists on traditional Southern cuisine
16004,Shaved Milk Ice
16008,homemade flour tortillas
16009,fresh salsa
16015,bar food enthusiasts
16017,options for varying spice levels
16020,yummy cookies
16028,Fans of trendy atmosphere
16029,people who appreciate knowledgeable staff
16030,people who prefer a cozy ambiance
16031,people who prefer a chic ambiance
16033,Wing's night specials
16034,People who enjoy flavorful chicken wings
16036,Eatalia
16038,hot food bars
16039,grocery selections
16041,healthy grocery options
16045,"affordable, substantial meals"
16047,Fans of retro atmospheres
16048,"Those seeking affordable, substantial meals"
16054,Users who enjoy chocolates
16055,Users who prefer supporting local businesses
16057,bulk options
16060,shorter lines
16066,Lovers of frozen custard
16070,celebration
16071,Southern-style barbeque
16077,extensive wine and cheese selections
16079,Italian experience
16085,innovative technology for ordering
16086,innovative technology for payment
16087,upscale counter restaurant
16096,Foodies seeking value for money
16098,Diners who appreciate good portion sizes
16099,flavorful sushi
16104,"cute, comfortable cafes"
16105,tasty breakfast options
16107,ice cream martinis
16108,Individuals who enjoy unique ice cream martinis
16115,lovers of Southern cuisine
16116,people who appreciate lively atmosphere
16117,Craft beer aficionados
16118,live/raw food
16119,people interested in live/raw food
16120,Visitors seeking seafood experience
16121,Philadelphia Phillies stadium
16129,wide variety of appetizers
16130,better than average spirits
16131,BYOF
16136,colorful and inviting atmosphere
16141,relaxation rooms
16142,discounts for check-ins
16145,Users who enjoy 24-hour diners
16150,drive-through setting
16154,beautiful and cultural setting
16158,long-standing
16163,enthusiastic sushi chefs
16168,Users who enjoy a great beer selection
16169,Users who enjoy well-prepared food
16170,at-risk youth programs
16171,community-oriented establishment
16173,occasional delays during peak hours
16175,refreshing flavors
16176,authentic water ice flavors
16178,Fans of water ice
16179,Hot days
16180,People seeking non-overpoweringly sweet treats
16183,packaged with care
16187,hard-to-find products
16188,clean store environment
16192,craft beer varieties
16193,expert cheese pairings
16199,small cafe setting
16200,waiting for seating
16201,chocolate-chip cookies
16202,creative coffee drinks
16208,casual diner-style atmosphere
16211,low-key dining
16212,Fans of South Indian cuisine
16219,savory croissants
16220,delicious lunch sandwiches
16224,"clean, comfortable environment"
16225,Fans of neighborhood cafes
16226,inclusive community spaces
16230,popular music
16233,pudding
16234,small bakery charm
16237,Pudding lovers
16242,accommodating staff for special dietary needs
16245,Thai cuisine lovers
16246,Fans of fast and friendly service
16247,Individuals who appreciate a variety of spicy dishes
16252,friendly patrons
16253,visually appealing desserts
16255,French charm
16259,"cozy, slightly cluttered atmosphere"
16261,potential to discover hidden gems
16263,vibrant patio atmosphere
16264,80's tunes
16268,Fitness club
16271,sauna
16274,creative and quality dishes
16276,lobster risotto
16277,buffalo chicken egg rolls
16282,unique twists on Mexican cuisine
16284,very spicy food
16287,generous boba portions
16289,variety of boba options
16294,2 eyed toad in the hole sandwich
16297,customizable Mexican food
16302,trendy boutique hotel
16303,easy access to popular attractions
16304,unique and artisanal ice cream flavors
16305,Ice Cream 504
16306,"small, locally owned business"
16308,Fans of artisanal ice cream
16309,Fans of small businesses
16313,gyro salad
16315,Lovers of Mexican food
16318,ahi tuna dishes
16320,exploring unique dishes
16322,spring roll
16324,pho challenge
16331,Users who enjoy a variety of burger toppings
16332,Users who enjoy customizable orders
16334,Users who value good service
16337,variety of food choices
16338,Northern Liberties
16341,variety in gym equipment
16343,membership perks
16345,giveaways
16346,diverse fitness community
16347,individuals seeking a motivating environment
16348,people looking for a friendly atmosphere
16349,well-equipped fitness environment
16354,Fans of creative gastropubs
16360,fresh and savory dishes
16368,neighborhood bar feel
16370,cauliflower burritos
16372,cool outdoor seating
16374,Users who appreciate cozy settings
16376,modern twist on southern dishes
16378,attentive dining setting
16381,clean services
16384,reliable services
16385,Rib Cook-Off
16387,Rib lovers
16388,Festival attendees
16389,Crowd-pleasers
16390,unique and delicious food options
16392,solid service
16400,spacious event spaces
16401,meeting spaces
16402,top-notch fitness facilities
16403,Guests seeking luxury accommodations
16404,Guests seeking excellent service
16405,Guests seeking event/meeting spaces
16406,Guests seeking fitness facilities
16408,place to socialize
16409,Coffee Bistro
16411,Users who enjoy excellent coffee
16415,toasted ravs
16416,house-made tiramisu
16418,"nostalgic, jazzy environment"
16420,cozy and artistic
16424,Users who appreciate artistic atmosphere
16425,Vegan food lovers
16430,Bar & Kitchen
16432,well-landscaped outdoor environment
16433,luxury brands
16435,centrally-located hotel
16436,beautifully designed rooms
16438,on-site dining
16442,large store
16443,unique smell
16444,Individuals who enjoy exploring a wide variety of international foods
16446,latte flights
16447,"modern, chic"
16448,People seeking quiet atmosphere
16449,"trendy, affordable café"
16453,Latin beverages
16455,casual and lively
16458,thoughtful dishes
16460,minimalist romantic atmosphere
16461,"healthy, clean eating"
16462,sharing portions
16463,limited AC
16466,Price changes
16470,friendly and knowledgeable stylists
16474,simple donuts
16476,unchanged traditions
16478,build-your-own hash
16480,may be a consideration
16484,high-end liquor shopping experience
16487,informative narratives
16489,onboard dining options
16490,Tour boat
16492,Users who enjoy informative narratives
16494,lunch outings
16496,flavor enthusiasts
16498,New Orleans beignets
16499,clean and convenient locations
16500,explanations of dishes and spices
16502,authentic and tasty
16505,Motown music
16507,Fans of hipster atmosphere
16510,Fans of Motown music
16513,cute and quaint environment
16514,variety of milk options
16518,eccentric staff interactions
16521,casual and grungy
16523,hipster and alternative
16524,Bar and music venue
16525,Users who enjoy diverse music genres
16528,Users who enjoy alternative crowds
16529,dinner portion
16530,outdoor parks
16537,wide variety of lunch options
16542,fast-food restaurant setting
16543,Fans of flavorful seasoned fries
16545,hand-spun shakes
16548,"bright, clean atmosphere"
16552,traditional Mexican beverages
16556,independent hardware store
16559,big chain stores
16562,Dining option
16563,Fans of spicy and flavorful Thai food
16564,Westsiders
16565,People with food allergies
16566,First-time Thai food diners
16567,affordable and plentiful options
16568,Native American culture
16569,Western art
16571,educational lectures
16572,family-friendly museum experiences
16573,Museum of American Indians & Western Art
16574,Eiteljorg Museum of American Indians & Western Art
16577,diverse climbing options
16581,"local, traditional American restaurant setting"
16588,"trendy, vibrant atmosphere"
16589,variety of chai
16590,variety of coffee
16591,Yes
16593,wider audience
16595,"casual, diner-style setting"
16596,blueberry lasagna
16598,occasional pretentious staff
16601,no-frills dining experiences
16603,low-calorie
16604,Welcoming for adults and kids
16606,playing checkers
16607,frequent customer program
16609,shareable samplers
16611,Individuals who appreciate a wide beer selection
16613,seafood delicacies
16617,variety of vegetarian dishes
16618,casual cafeteria-style dining
16619,quality soups
16620,authentic Vietnamese banh mi
16621,Food Mart
16622,exotic sandwiches
16624,imaginative beer-naming humor
16628,original sides
16630,laid-back and relaxing
16637,well-managed
16638,college campuses
16640,Individuals looking for affordable breakfast
16642,cozy indoor seating
16644,fresh and tasty sushi
16650,potstickers
16652,good values
16655,People who enjoy duck dishes
16656,People who enjoy dim sum
16657,People seeking reasonably priced food
16658,People who value flavorful soups
16659,People who enjoy potstickers
16660,People who enjoy handmade egg rolls
16664,seasonally updated flavors
16665,trying out different flavors
16666,authentic fry bread
16667,fry bread
16668,Native American cuisine
16673,humble location
16674,quality of pizza
16676,flavorful and diverse menus
16678,divey Irish pub setting
16686,farm-related attractions
16687,Locals seeking seasonal activities
16688,Individuals interested in farm-related attractions and food
16689,People interested in farm-related attractions
16692,organic food products
16696,hidden bargains
16700,potential wait during peak times
16704,Fans of eclectic menus
16708,beverages by the pitcher
16711,Fans of pizzas
16712,Fans of menu items
16714,self-service restaurant
16718,Fashion and home decor store
16722,well-organized sales sections
16724,Fans of fashion
16726,Shopping experience seekers
16728,cozy Southern
16729,people looking for a place to kill time
16736,Good options for vegetarians
16740,change from ordinary Chinese restaurants
16742,alcoholic coffee drinks
16748,medium to hot spice levels
16750,people who enjoy trying a variety of Indian dishes
16751,Carousel Bar
16755,Users who appreciate historic charm
16756,Users who appreciate Southern hospitality
16757,Users who value unique amenities
16758,affordable drinks deals
16759,"clean, friendly service"
16766,diverse selection of absinthe and cocktails
16767,divey and minimalist setting
16768,unique and inviting
16770,fast and convenient service
16776,inexpensive menu items
16777,old-school
16780,clean and hospitable environment
16781,solid tap selection
16783,life-sized Jenga
16787,Individuals seeking social dining
16792,rum pralines
16793,pecan candy apples
16795,candy options
16796,Fans of specialty sweets
16801,flavorful rice dishes
16806,locally-made clothing
16809,funky vibe
16810,curated fashion
16811,vibrant colors
16812,stylish pieces
16813,functional pieces
16815,Families looking for consistent dining
16816,Military personnel seeking good value
16818,healthy offerings
16820,beautiful restaurant setting
16824,variety of German beers
16825,live music ambiance
16826,those who value quality food
16827,those who value drinks
16830,charming country settings
16831,Users who appreciate charming country settings
16832,Users who appreciate excellent customer service
16833,Users who appreciate fresh farm-to-table food
16834,Users who enjoy specialty items
16835,small plate dining experiences
16836,People who enjoy small plate dining
16837,Individuals looking for flavorful cocktails
16838,Individuals looking for desserts
16840,butter cake
16844,all-day brunch/lunch offerings
16845,Users who appreciate strong espresso
16846,generous-sized sandwiches
16847,less spicy dishes
16850,vegetarian/vegan-friendly meals
16853,pose modifications
16856,People who enjoy a welcoming and friendly environment
16859,changing food options
16860,relaxed outdoor space
16862,authentic Mexican street tacos
16865,Thom Ka
16866,mixed opinions on certain dishes
16869,flavorful dressings
16873,County Courthouse
16875,free attractions
16878,peaceful spot
16879,city center
16885,Bakery & Cafe
16888,cakes with flavorful frosting
16890,good selection of gifts
16892,not overwhelmingly sweet desserts
16895,short rib tacos
16896,spicy rock shrimp
16898,indoor and outdoor dining
16904,People seeking nostalgic dining
16906,healthy comfort food
16907,trendy meals
16909,delightful customer service
16912,potential delays in service
16914,People open to trying new flavors and dishes
16915,close to airport
16916,near attractions
16919,the Arch
16920,Busch Stadium
16921,corporate meeting space
16928,artful sushi
16930,unique combinations of flavors
16931,wait for a table
16933,Fans of casual sushi dining
16934,setting that may need renovations
16935,teppanyaki-style dining
16936,entertaining chef performances
16937,delicious dipping sauces
16938,Hibachi Steak House & Sushi Bar
16939,pub-style food
16940,Friends and family
16941,hardware items
16942,nostalgic store
16943,old-fashioned store
16946,key making services
16947,affordable key making services
16949,"cozy, homey"
16953,Spring House
16959,Fans of American barbeque
16962,tasty meats
16963,savory sides
16967,'Cheers' atmosphere
16968,Fans of cozy neighborhood spots
16971,charming cafe atmosphere
16972,friendly interaction
16979,"cozy, minimalist bars"
16980,quality entrees
16982,"cozy, minimalist"
16983,"Users who enjoy cozy, minimalist bars"
16989,beautiful and lively dining atmosphere
16992,group outing environment
16997,flavorful brews
16998,"cool, minimalist setting"
16999,space for work
17008,fried fish
17009,collard greens
17011,pescetarians
17012,paleo eaters
17014,healthy cuisine
17015,fresh cuisine
17019,kitschy
17020,boilermaker
17023,potato
17024,retro steakhouse vibes
17026,t-bone steak
17027,cowboy boot-shaped glasses
17028,Fans of simple and delicious dinners
17029,"Fans of authentic, high-quality sandwiches"
17031,South Philly hospitality
17033,wide selection of produce
17034,ready-to-eat items
17036,customizable spiciness levels
17039,diner-like
17042,"clean, cozy atmosphere"
17052,variety in sushi selections
17053,bottle wine deals
17064,picnic lovers
17066,cozy and chic atmosphere
17067,reasonably-priced drinks
17069,hot chicken sandwich
17071,tax-free shopping
17072,clean and modern mall environment
17073,easy access to highway
17078,baking needs
17081,Bulk store
17083,Filipino flavors
17088,ambiance for reading
17089,ambiance for people-watching
17090,ambiance for enjoying coffee
17091,Israeli influence
17095,wood-fired dishes
17097,Tattoo and piercing shop
17102,piercing
17104,Fans of casual Japanese dining
17105,people seeking an affordable sushi experience
17106,customizable dining experience
17109,diverse and flavorful dishes
17114,extensive menu knowledge
17115,hefty portions
17118,slightly industrial
17121,friendly pet-friendly dining atmosphere
17125,Individuals who enjoy scenic views
17127,Individuals interested in historical landmarks
17130,Pub & Restaurant
17134,flavorful marinated crab
17135,authentic po' boys
17137,Cleveland
17138,comfortable and intimate setting
17140,musical experiences
