relation_index,relation_name,scalar
82,off_ers,5.511446990035938e-41
83,surroundings_include,3.4719411531190263e-40
84,caterst_to,4.022497306767604e-40
85,educates_about,-1.4274607066537614e-40
86,cater_to,-8.264213745294182e-40
87,has_opportunity_to_see,-6.975383495716074e-41
88,adheres_to,9.912785336633756e-41
89,discovers,-3.831023884602261e-40
90,does_not_specify,-9.573951367960015e-41
91,competes_with,4.8294350274490496e-40
92,connected_to,-5.548301139647681e-40
93,recommendation,-3.189047019141132e-40
94,has_music_genre,5.089656152274168e-41
95,has_overall_experience,2.902089119616696e-41
96,has_cuisine_influence,2.3646631325788423e-40
97,sees,1.62624890680288e-40
98,includes,2.4530570397084518e-40
99,likes,-1.84566422034686e-40
100,is_open_to,3.6606680302942926e-40
101,ensures,3.6113142983807726e-40
102,has_dietary_options,-7.942559695793063e-42
103,made_from,-1.4294505504731026e-40
104,services,4.083313660119301e-40
105,cooking_method,-4.91882385648833e-40
106,can_overlook,2.0430371090470103e-40
107,creates,4.838949844021815e-40
108,willing_to,9.835153401710161e-41
109,has_quality,-5.052031288507047e-40
110,has_theme,-1.1968209924105398e-40
111,listens_to,-8.305636127899623e-41
112,value_proposition,1.6518366167614511e-40
113,has_portion_size,3.594050301300291e-40
114,has_menu,-1.1732231262713098e-40
115,has_potential_for,-3.714421839385793e-40
116,[UI-Relation],-4.935429243290579e-40
117,offers_rev,4.960862810418074e-40
118,has_atmosphere_rev,4.946905877713399e-40
119,has_feature_rev,-4.905819806739395e-40
120,caters_to_rev,4.9607086675869984e-40
121,located_in_rev,-5.02684995510313e-40
122,is_a_rev,-4.912728208168517e-40
123,appeals_to_rev,-6.301779323915135e-40
124,suitable_for_rev,4.9431503978290085e-40
125,price_range_rev,4.9366623859391846e-40
126,name_rev,4.971848990378381e-40
127,presents_rev,4.9084262218830395e-40
128,features_rev,-4.9486855267630915e-40
129,has_policy_rev,4.942730008289711e-40
130,has_payment_method_rev,-4.927203621304992e-40
131,specializes_in_rev,-4.918501557841535e-40
132,served_in_rev,-4.957765940811916e-40
133,has_staff_rev,4.987403403332386e-40
134,provides_rev,-4.935120957628427e-40
135,category_rev,-4.939436956898548e-40
136,has_service_quality_rev,4.970237497144407e-40
137,offeres_rev,4.95281935723285e-40
138,seeks_rev,4.908328130990537e-40
139,presents_genre_rev,4.927371777120711e-40
140,has_menu_with_rev,-4.930482659711512e-40
141,recommended_visit_rev,-4.9758987429402794e-40
142,has_reputation_rev,-5.00217308914637e-40
143,uses_rev,4.966916419783957e-40
144,has_feedback_rev,4.9997348298184446e-40
145,has_been_renovated_rev,-4.910822442257035e-40
146,has_issue_rev,-4.908958715299483e-40
147,has_activity_rev,-4.913835233955333e-40
148,focuses_on_rev,-4.936578308031325e-40
149,has_owner_rev,-4.924148790652764e-40
150,location_rev,-4.91541870122002e-40
151,has_significance_rev,-4.9694107310504555e-40
152,receives_rev,4.933425386486594e-40
153,has_strategy_for_rev,4.993597142544702e-40
154,has_ingredient_rev,4.985063234896964e-40
155,has_scene_rev,-4.933299269624805e-40
156,has_main_ingredient_rev,-4.959601641800182e-40
157,has_attribute_rev,4.90773958563552e-40
158,has_shopping_options_rev,-4.937250931294201e-40
159,has_setting_rev,-4.939507021821764e-40
160,has_service_rev,4.951894500246395e-40
161,supports_rev,-6.072372752320519e-40
162,has_variety_of_rev,4.98189630036759e-40
163,located_away_from_rev,6.0616107801145045e-40
164,suits_rev,4.940487930746791e-40
165,has_characteristic_rev,-4.979724287747886e-40
166,has_menu_feature_rev,-5.012949074337028e-40
167,may_not_be_suitable_for_rev,-4.946681669959107e-40
168,prioritizes_rev,4.9491899942102484e-40
169,has_ambiance_rev,-4.946457462204815e-40
170,hosts_rev,-4.978126807498556e-40
171,balanced_by_rev,4.915082389588582e-40
172,has_purpose_rev,5.720422630020698e-40
173,does_not_own_rev,-4.9682756792943524e-40
174,has_experience_rev,-4.923265972620239e-40
175,interests_include_rev,-4.9081459621901745e-40
176,has_amenities_rev,-4.954627032251829e-40
177,has_aspect_rev,-4.93470056808913e-40
178,compares_to_rev,-4.953211720802861e-40
179,historical_age_rev,-4.957247460380116e-40
180,has_rev,-4.929025309308614e-40
181,has_supervision_by_rev,-5.012388554951298e-40
182,has_vibe_rev,4.9600920962626955e-40
183,owned_by_rev,4.98681485797737e-40
184,spice_levels_range_from_rev,4.905245274369022e-40
185,reasons_to_revisit_rev,4.911004611057397e-40
186,has_drawback_rev,-4.916147376421469e-40
187,accepts_payment_rev,4.951151812060303e-40
188,prefers_payment_method_rev,4.960610576694496e-40
189,has_event_rev,-4.909533247669856e-40
190,has_food_options_rev,4.955874187885078e-40
191,compared_to_rev,4.907949780405169e-40
192,lacks_feature_rev,-4.908075897266958e-40
193,avoids_rev,-4.926012517610316e-40
194,has_hours_rev,-4.9883843122574136e-40
195,has_highlight_rev,-6.193613095453902e-40
196,has_potential_issue_rev,-4.9556359671461426e-40
197,off_ers_rev,-5.035453927674084e-40
198,surroundings_include_rev,-4.924639245115278e-40
199,caterst_to_rev,5.03772403118629e-40
200,educates_about_rev,4.929333594970766e-40
201,cater_to_rev,4.98237274184546e-40
202,has_opportunity_to_see_rev,-4.95437479852825e-40
203,adheres_to_rev,-4.969550860896888e-40
204,discovers_rev,-5.032048772405775e-40
205,does_not_specify_rev,4.928520841861457e-40
206,competes_with_rev,4.9424217226275596e-40
207,connected_to_rev,4.993386947775053e-40
208,recommendation_rev,-4.909561273639143e-40
209,has_music_genre_rev,4.911691247304916e-40
210,has_overall_experience_rev,-5.03120799332718e-40
211,has_cuisine_influence_rev,4.962670485437053e-40
212,sees_rev,-4.935625425075584e-40
213,includes_rev,4.906310261201909e-40
214,likes_rev,-4.923322024558812e-40
215,is_open_to_rev,-4.922733479203796e-40
216,ensures_rev,4.96645399129073e-40
217,has_dietary_options_rev,4.959783810600544e-40
218,made_from_rev,-4.949428214949184e-40
219,services_rev,-4.9434867094604464e-40
220,cooking_method_rev,-4.917548674885794e-40
221,can_overlook_rev,4.95713535650297e-40
222,creates_rev,4.928156504260733e-40
223,willing_to_rev,4.995138570855459e-40
224,has_quality_rev,4.927708088752149e-40
225,has_theme_rev,4.9355833861216544e-40
226,listens_to_rev,4.9258723877638835e-40
227,value_proposition_rev,-4.932346386669064e-40
228,has_portion_size_rev,4.935233061505573e-40
229,has_menu_rev,-5.01416820400099e-40
230,has_potential_for_rev,-4.920014960183006e-40
231,user_item,9.560877799987793
232,item_user,9.507433891296387
