model,user_id,interaction_bin,precision@20,recall@20,ndcg@20
base,41,0-9,0.0,0.0,0.0
base,42,0-9,0.1,0.6666666666666666,0.5778595991237899
base,43,60+,0.0,0.0,0.0
base,44,20-29,0.0,0.0,0.0
base,45,0-9,0.0,0.0,0.0
base,46,60+,0.05,0.047619047619047616,0.0334374913847135
base,47,20-29,0.05,0.14285714285714285,0.10633668103022985
base,48,0-9,0.0,0.0,0.0
base,49,50-59,0.0,0.0,0.0
base,50,50-59,0.0,0.0,0.0
base,51,10-19,0.05,0.16666666666666666,0.09109240322345806
base,52,10-19,0.0,0.0,0.0
base,53,50-59,0.0,0.0,0.0
base,54,30-39,0.0,0.0,0.0
base,55,20-29,0.0,0.0,0.0
base,56,40-49,0.0,0.0,0.0
base,57,0-9,0.0,0.0,0.0
base,58,10-19,0.0,0.0,0.0
base,59,0-9,0.0,0.0,0.0
base,60,0-9,0.05,0.3333333333333333,0.18154179253735267
base,61,20-29,0.0,0.0,0.0
base,62,20-29,0.0,0.0,0.0
base,63,0-9,0.0,0.0,0.0
base,64,10-19,0.05,0.16666666666666666,0.07123530534387781
base,65,0-9,0.05,0.3333333333333333,0.10858087310103355
base,66,0-9,0.0,0.0,0.0
base,67,10-19,0.0,0.0,0.0
base,68,0-9,0.0,0.0,0.0
base,69,20-29,0.05,0.125,0.06323567569191428
base,70,10-19,0.0,0.0,0.0
base,71,0-9,0.05,0.3333333333333333,0.11731968150568911
base,72,10-19,0.0,0.0,0.0
base,73,20-29,0.0,0.0,0.0
base,74,60+,0.0,0.0,0.0
base,75,10-19,0.0,0.0,0.0
base,76,20-29,0.0,0.0,0.0
base,77,50-59,0.1,0.125,0.11265688951239886
base,78,30-39,0.05,0.1111111111111111,0.23504554941448536
base,79,30-39,0.05,0.09090909090909091,0.08021827351724287
base,80,60+,0.15,0.08823529411764706,0.20339561953520371
base,81,20-29,0.0,0.0,0.0
base,82,20-29,0.05,0.16666666666666666,0.09546043308946733
base,83,40-49,0.1,0.16666666666666666,0.12456227382867811
base,84,0-9,0.0,0.0,0.0
base,85,0-9,0.05,0.3333333333333333,0.46927872602275644
base,86,10-19,0.05,0.25,0.123151194370365
base,87,60+,0.15,0.05660377358490566,0.2194551070090852
base,88,0-9,0.05,0.3333333333333333,0.11480929472601784
base,89,60+,0.2,0.14814814814814814,0.27172955385956493
base,90,40-49,0.05,0.08333333333333333,0.056760172607960534
base,91,10-19,0.05,0.2,0.07721668828275381
base,92,40-49,0.1,0.15384615384615385,0.11474851672918258
base,93,20-29,0.1,0.3333333333333333,0.2598144329165077
base,94,0-9,0.0,0.0,0.0
base,95,10-19,0.0,0.0,0.0
base,96,10-19,0.0,0.0,0.0
base,97,10-19,0.0,0.0,0.0
base,98,30-39,0.05,0.1,0.051811563545175146
base,99,10-19,0.0,0.0,0.0
base,100,10-19,0.0,0.0,0.0
base,101,20-29,0.0,0.0,0.0
base,102,60+,0.2,0.08,0.24124920056177554
base,103,10-19,0.0,0.0,0.0
base,104,10-19,0.0,0.0,0.0
base,105,10-19,0.0,0.0,0.0
base,106,10-19,0.05,0.2,0.10699313236726378
base,107,0-9,0.0,0.0,0.0
base,108,0-9,0.0,0.0,0.0
base,109,20-29,0.05,0.14285714285714285,0.09162544430476362
base,110,40-49,0.1,0.15384615384615385,0.10936701792841386
base,111,40-49,0.0,0.0,0.0
base,112,50-59,0.0,0.0,0.0
base,113,0-9,0.0,0.0,0.0
base,114,10-19,0.0,0.0,0.0
base,115,40-49,0.1,0.15384615384615385,0.16176948294575608
base,116,60+,0.0,0.0,0.0
base,117,10-19,0.1,0.6666666666666666,0.6257049680303419
base,118,20-29,0.05,0.14285714285714285,0.08274602130532002
base,119,10-19,0.0,0.0,0.0
base,120,0-9,0.05,0.3333333333333333,0.10684080426179023
base,121,10-19,0.0,0.0,0.0
base,122,50-59,0.0,0.0,0.0
base,123,20-29,0.0,0.0,0.0
base,124,0-9,0.0,0.0,0.0
base,125,10-19,0.0,0.0,0.0
base,126,30-39,0.0,0.0,0.0
base,127,60+,0.0,0.0,0.0
base,128,60+,0.0,0.0,0.0
base,129,10-19,0.0,0.0,0.0
base,130,0-9,0.0,0.0,0.0
base,131,20-29,0.0,0.0,0.0
base,132,60+,0.0,0.0,0.0
base,133,60+,0.05,0.05263157894736842,0.0733934381893728
base,134,10-19,0.0,0.0,0.0
base,135,0-9,0.05,0.5,0.3065735963827292
base,136,20-29,0.0,0.0,0.0
base,137,0-9,0.0,0.0,0.0
base,138,10-19,0.1,0.5,0.19353890920873174
base,139,0-9,0.0,0.0,0.0
base,140,30-39,0.15,0.2727272727272727,0.18996060914867588
base,141,10-19,0.0,0.0,0.0
base,142,0-9,0.0,0.0,0.0
base,143,10-19,0.0,0.0,0.0
base,144,60+,0.1,0.10526315789473684,0.20357179157105296
base,145,20-29,0.0,0.0,0.0
base,146,0-9,0.0,0.0,0.0
base,147,10-19,0.0,0.0,0.0
base,148,10-19,0.0,0.0,0.0
base,149,0-9,0.0,0.0,0.0
base,150,10-19,0.0,0.0,0.0
base,151,40-49,0.05,0.08333333333333333,0.04803907544251195
base,152,10-19,0.0,0.0,0.0
base,153,10-19,0.0,0.0,0.0
base,154,0-9,0.0,0.0,0.0
base,155,20-29,0.0,0.0,0.0
base,156,0-9,0.05,0.3333333333333333,0.11731968150568911
base,157,0-9,0.0,0.0,0.0
base,158,10-19,0.0,0.0,0.0
base,159,20-29,0.0,0.0,0.0
base,160,60+,0.15,0.15,0.13635824020585416
base,161,60+,0.05,0.02040816326530612,0.0383846381653829
base,162,20-29,0.0,0.0,0.0
base,163,0-9,0.0,0.0,0.0
base,164,40-49,0.0,0.0,0.0
base,165,10-19,0.0,0.0,0.0
base,166,20-29,0.05,0.125,0.07311683844390994
base,167,10-19,0.05,0.2,0.08681077623592635
base,168,10-19,0.0,0.0,0.0
base,169,10-19,0.0,0.0,0.0
base,170,20-29,0.0,0.0,0.0
base,171,60+,0.05,0.030303030303030304,0.04734667987788577
base,172,10-19,0.05,0.25,0.09032543842038994
base,173,60+,0.3,0.23076923076923078,0.4412657294072892
base,174,60+,0.15,0.17647058823529413,0.15896958936079145
base,175,10-19,0.0,0.0,0.0
base,176,40-49,0.0,0.0,0.0
base,177,0-9,0.1,0.6666666666666666,0.34511175797047566
base,178,10-19,0.0,0.0,0.0
base,179,30-39,0.0,0.0,0.0
base,180,20-29,0.0,0.0,0.0
base,181,0-9,0.0,0.0,0.0
base,182,0-9,0.0,0.0,0.0
base,183,20-29,0.0,0.0,0.0
base,184,10-19,0.0,0.0,0.0
base,185,10-19,0.05,0.25,0.09361800268759637
base,186,10-19,0.0,0.0,0.0
base,187,20-29,0.0,0.0,0.0
base,188,50-59,0.25,0.3333333333333333,0.417550985527147
base,189,40-49,0.05,0.08333333333333333,0.0845667599404342
base,190,10-19,0.0,0.0,0.0
base,191,10-19,0.0,0.0,0.0
base,192,50-59,0.0,0.0,0.0
base,193,10-19,0.0,0.0,0.0
base,194,20-29,0.05,0.125,0.07311683844390994
base,195,40-49,0.05,0.07142857142857142,0.040573182910334425
base,196,60+,0.15,0.15789473684210525,0.11976615620846762
base,197,10-19,0.05,0.25,0.19519002499605084
base,198,10-19,0.0,0.0,0.0
base,199,0-9,0.0,0.0,0.0
base,200,20-29,0.05,0.14285714285714285,0.07035680323970717
base,201,20-29,0.05,0.16666666666666666,0.08440880858250024
base,202,60+,0.1,0.07692307692307693,0.07072292931370272
base,203,60+,0.0,0.0,0.0
base,204,0-9,0.0,0.0,0.0
base,205,0-9,0.0,0.0,0.0
base,206,30-39,0.0,0.0,0.0
base,207,10-19,0.0,0.0,0.0
base,208,30-39,0.05,0.1111111111111111,0.05533181737932847
base,209,10-19,0.0,0.0,0.0
base,210,0-9,0.0,0.0,0.0
base,211,60+,0.05,0.05,0.03475017269886857
base,212,10-19,0.0,0.0,0.0
base,213,40-49,0.05,0.07692307692307693,0.049043960636177025
base,214,20-29,0.05,0.125,0.2529427027676571
base,215,10-19,0.0,0.0,0.0
base,216,60+,0.05,0.05555555555555555,0.05412479622841819
base,217,20-29,0.05,0.14285714285714285,0.08671382849411972
base,218,20-29,0.05,0.14285714285714285,0.08274602130532002
base,219,0-9,0.0,0.0,0.0
base,220,10-19,0.0,0.0,0.0
base,221,60+,0.05,0.05555555555555555,0.15194751309721466
base,222,0-9,0.05,0.5,0.20438239758848611
base,223,20-29,0.0,0.0,0.0
base,224,10-19,0.05,0.3333333333333333,0.1125388887954676
base,225,50-59,0.05,0.0625,0.037286325438923226
base,226,0-9,0.05,0.3333333333333333,0.12681701683239352
base,227,30-39,0.0,0.0,0.0
base,228,30-39,0.05,0.1,0.07839826897867533
base,229,20-29,0.05,0.125,0.06323567569191428
base,230,10-19,0.05,0.2,0.1208113026994942
base,231,60+,0.1,0.05405405405405406,0.07313481086425147
base,232,60+,0.1,0.04081632653061224,0.0718221295500964
base,233,0-9,0.0,0.0,0.0
base,234,60+,0.1,0.1111111111111111,0.08437301140184723
base,235,10-19,0.0,0.0,0.0
base,236,20-29,0.0,0.0,0.0
base,237,0-9,0.0,0.0,0.0
base,238,20-29,0.0,0.0,0.0
base,239,10-19,0.0,0.0,0.0
base,240,10-19,0.0,0.0,0.0
base,241,10-19,0.05,0.3333333333333333,0.12325583919272352
base,242,50-59,0.05,0.06666666666666667,0.0660006550311689
base,243,0-9,0.0,0.0,0.0
base,244,10-19,0.0,0.0,0.0
base,245,10-19,0.0,0.0,0.0
base,246,50-59,0.05,0.0625,0.05833725389333616
base,247,10-19,0.05,0.2,0.0890802702182344
base,248,10-19,0.05,0.2,0.10699313236726378
base,249,50-59,0.0,0.0,0.0
base,250,10-19,0.0,0.0,0.0
base,251,0-9,0.0,0.0,0.0
base,252,10-19,0.0,0.0,0.0
base,253,60+,0.1,0.05,0.09523628763401437
base,254,20-29,0.0,0.0,0.0
base,255,0-9,0.0,0.0,0.0
base,256,30-39,0.05,0.1,0.22009176629808017
base,257,60+,0.05,0.058823529411764705,0.0561326498270945
base,258,10-19,0.0,0.0,0.0
base,259,40-49,0.0,0.0,0.0
base,260,10-19,0.05,0.3333333333333333,0.10684080426179023
base,261,0-9,0.05,0.3333333333333333,0.16716045496620227
base,262,10-19,0.0,0.0,0.0
base,263,60+,0.05,0.022727272727272728,0.04275831251503158
base,264,10-19,0.0,0.0,0.0
base,265,10-19,0.0,0.0,0.0
base,266,50-59,0.1,0.11764705882352941,0.09742348452255317
base,267,60+,0.05,0.05555555555555555,0.035769798946978335
base,268,30-39,0.0,0.0,0.0
base,269,60+,0.0,0.0,0.0
base,270,50-59,0.15,0.1875,0.1481496396501061
base,271,60+,0.1,0.04878048780487805,0.08211539396811637
base,272,30-39,0.0,0.0,0.0
base,273,20-29,0.0,0.0,0.0
base,274,10-19,0.05,0.25,0.16812753627111746
base,275,20-29,0.05,0.125,0.0664352832729762
base,276,0-9,0.0,0.0,0.0
base,277,60+,0.05,0.058823529411764705,0.0455520698635181
base,278,60+,0.2,0.13793103448275862,0.15032488795746912
base,279,10-19,0.0,0.0,0.0
base,280,0-9,0.0,0.0,0.0
base,281,20-29,0.1,0.2222222222222222,0.11454621380314706
base,282,10-19,0.0,0.0,0.0
base,283,0-9,0.0,0.0,0.0
base,284,10-19,0.0,0.0,0.0
base,285,40-49,0.0,0.0,0.0
base,286,60+,0.15,0.17647058823529413,0.19228214317753137
base,287,60+,0.15,0.13043478260869565,0.15675133786009732
base,288,10-19,0.1,0.6666666666666666,0.3171937659698004
base,289,0-9,0.0,0.0,0.0
base,290,30-39,0.0,0.0,0.0
base,291,0-9,0.0,0.0,0.0
base,292,10-19,0.0,0.0,0.0
base,293,10-19,0.05,0.25,0.08887792306803073
base,294,60+,0.15,0.07142857142857142,0.12801075035004494
base,295,10-19,0.0,0.0,0.0
base,296,60+,0.15,0.06,0.10780873113939766
base,297,40-49,0.0,0.0,0.0
base,298,40-49,0.0,0.0,0.0
base,299,30-39,0.0,0.0,0.0
base,300,0-9,0.0,0.0,0.0
base,301,60+,0.05,0.03571428571428571,0.0383846381653829
base,302,10-19,0.0,0.0,0.0
base,303,60+,0.15,0.13043478260869565,0.22585713153557796
base,304,0-9,0.0,0.0,0.0
base,305,20-29,0.05,0.125,0.07311683844390994
base,306,10-19,0.0,0.0,0.0
base,307,10-19,0.0,0.0,0.0
base,308,20-29,0.0,0.0,0.0
base,309,10-19,0.1,0.4,0.17308062897777077
base,310,40-49,0.05,0.07142857142857142,0.046806851959664796
base,311,10-19,0.0,0.0,0.0
base,312,50-59,0.1,0.11764705882352941,0.10354720002976427
base,313,30-39,0.0,0.0,0.0
base,314,40-49,0.05,0.08333333333333333,0.04543294832497826
base,315,0-9,0.0,0.0,0.0
base,316,50-59,0.1,0.13333333333333333,0.23138144801632507
base,317,40-49,0.0,0.0,0.0
base,318,40-49,0.0,0.0,0.0
base,319,30-39,0.0,0.0,0.0
base,320,20-29,0.0,0.0,0.0
base,321,20-29,0.05,0.125,0.06323567569191428
base,322,10-19,0.0,0.0,0.0
base,323,20-29,0.05,0.14285714285714285,0.27487633291429087
base,324,10-19,0.0,0.0,0.0
base,325,10-19,0.0,0.0,0.0
base,326,20-29,0.05,0.1111111111111111,0.08372491399919346
base,327,30-39,0.0,0.0,0.0
base,328,0-9,0.0,0.0,0.0
base,329,10-19,0.0,0.0,0.0
base,330,10-19,0.05,0.25,0.10889376106823218
base,331,0-9,0.0,0.0,0.0
base,332,0-9,0.0,0.0,0.0
base,333,30-39,0.05,0.09090909090909091,0.05446333035917803
base,334,20-29,0.1,0.3333333333333333,0.2147325744928709
base,335,10-19,0.0,0.0,0.0
base,336,60+,0.05,0.04,0.03406297225598251
base,337,60+,0.25,0.15625,0.1934520579227822
base,338,10-19,0.0,0.0,0.0
base,339,10-19,0.0,0.0,0.0
base,340,10-19,0.0,0.0,0.0
base,341,60+,0.2,0.18181818181818182,0.22139367773871657
base,342,20-29,0.05,0.16666666666666666,0.08177471774917201
base,343,20-29,0.0,0.0,0.0
base,344,10-19,0.05,0.25,0.11751610475642714
base,345,20-29,0.0,0.0,0.0
base,346,20-29,0.0,0.0,0.0
base,347,60+,0.15,0.075,0.15108508269830487
base,348,30-39,0.0,0.0,0.0
base,349,0-9,0.0,0.0,0.0
base,350,30-39,0.0,0.0,0.0
base,351,40-49,0.15,0.25,0.22006662890972234
base,352,60+,0.0,0.0,0.0
base,353,20-29,0.0,0.0,0.0
base,354,20-29,0.0,0.0,0.0
base,355,20-29,0.0,0.0,0.0
base,356,10-19,0.05,0.2,0.0890802702182344
base,357,10-19,0.15,0.6,0.2751387539916098
base,358,20-29,0.15,0.5,0.2247001289955134
base,359,10-19,0.0,0.0,0.0
base,360,30-39,0.0,0.0,0.0
base,361,20-29,0.0,0.0,0.0
base,362,20-29,0.0,0.0,0.0
base,363,20-29,0.0,0.0,0.0
base,364,10-19,0.0,0.0,0.0
base,365,10-19,0.05,0.25,0.16812753627111746
base,366,30-39,0.1,0.2222222222222222,0.17628416206086403
base,367,0-9,0.0,0.0,0.0
base,368,10-19,0.0,0.0,0.0
base,369,10-19,0.0,0.0,0.0
base,370,10-19,0.05,0.25,0.09992090652113537
base,371,50-59,0.0,0.0,0.0
base,372,10-19,0.0,0.0,0.0
base,373,0-9,0.0,0.0,0.0
base,374,0-9,0.0,0.0,0.0
base,375,40-49,0.0,0.0,0.0
base,376,10-19,0.0,0.0,0.0
base,377,0-9,0.0,0.0,0.0
base,378,10-19,0.1,0.5,0.28708896836470543
base,379,60+,0.15,0.08571428571428572,0.11871640250031291
base,380,20-29,0.0,0.0,0.0
base,381,60+,0.05,0.05,0.044808643601671735
base,382,10-19,0.0,0.0,0.0
base,383,20-29,0.05,0.125,0.0664352832729762
base,384,10-19,0.0,0.0,0.0
base,385,0-9,0.0,0.0,0.0
base,386,10-19,0.0,0.0,0.0
base,387,20-29,0.05,0.1111111111111111,0.1482972305701491
base,388,10-19,0.0,0.0,0.0
base,389,0-9,0.0,0.0,0.0
base,390,10-19,0.0,0.0,0.0
base,391,10-19,0.05,0.3333333333333333,0.10684080426179023
base,392,10-19,0.05,0.25,0.10253313861822189
base,393,50-59,0.1,0.13333333333333333,0.11521702864604912
base,394,10-19,0.0,0.0,0.0
base,395,20-29,0.0,0.0,0.0
base,396,10-19,0.0,0.0,0.0
base,397,10-19,0.0,0.0,0.0
base,398,10-19,0.0,0.0,0.0
base,399,30-39,0.05,0.1,0.13886244387355454
base,400,10-19,0.0,0.0,0.0
base,401,50-59,0.05,0.0625,0.0818866884283907
base,402,0-9,0.0,0.0,0.0
base,403,30-39,0.05,0.1,0.06625422345438903
base,404,0-9,0.0,0.0,0.0
base,405,50-59,0.0,0.0,0.0
base,406,30-39,0.1,0.18181818181818182,0.2580922659829404
base,407,50-59,0.0,0.0,0.0
base,408,30-39,0.05,0.09090909090909091,0.05994083762128166
base,409,20-29,0.0,0.0,0.0
base,410,0-9,0.0,0.0,0.0
base,411,10-19,0.0,0.0,0.0
base,412,60+,0.1,0.09523809523809523,0.08031865351008606
base,413,50-59,0.0,0.0,0.0
base,414,0-9,0.0,0.0,0.0
base,415,20-29,0.1,0.25,0.15845477782415746
base,416,30-39,0.0,0.0,0.0
base,417,10-19,0.0,0.0,0.0
base,418,60+,0.05,0.041666666666666664,0.032864970567577
base,419,30-39,0.1,0.2,0.1906740074187297
base,420,20-29,0.0,0.0,0.0
base,421,10-19,0.05,0.25,0.19519002499605084
base,422,0-9,0.0,0.0,0.0
base,423,10-19,0.0,0.0,0.0
base,424,30-39,0.05,0.1,0.05947719272904215
base,425,30-39,0.0,0.0,0.0
base,426,20-29,0.05,0.125,0.06065881345112158
base,427,0-9,0.0,0.0,0.0
base,428,20-29,0.05,0.14285714285714285,0.0979129253499678
base,429,20-29,0.0,0.0,0.0
base,430,0-9,0.0,0.0,0.0
base,431,0-9,0.0,0.0,0.0
base,432,30-39,0.0,0.0,0.0
base,433,20-29,0.05,0.125,0.15958907712489634
base,434,0-9,0.0,0.0,0.0
base,435,20-29,0.0,0.0,0.0
base,436,10-19,0.0,0.0,0.0
base,437,10-19,0.0,0.0,0.0
base,438,10-19,0.05,0.3333333333333333,0.2960819109658652
base,439,10-19,0.0,0.0,0.0
base,440,40-49,0.05,0.07692307692307693,0.05890605135464942
base,441,20-29,0.05,0.14285714285714285,0.13743816645714543
base,442,60+,0.05,0.038461538461538464,0.07102001981682865
base,443,0-9,0.0,0.0,0.0
base,444,10-19,0.05,0.3333333333333333,0.11047239495909743
base,445,20-29,0.0,0.0,0.0
base,446,10-19,0.05,0.2,0.09803928583135704
base,447,60+,0.0,0.0,0.0
base,448,30-39,0.0,0.0,0.0
base,449,60+,0.15,0.1111111111111111,0.18278901816947757
base,450,10-19,0.0,0.0,0.0
base,451,30-39,0.0,0.0,0.0
base,452,10-19,0.0,0.0,0.0
base,453,0-9,0.0,0.0,0.0
base,454,0-9,0.0,0.0,0.0
base,455,0-9,0.05,0.3333333333333333,0.18154179253735267
base,456,10-19,0.0,0.0,0.0
base,457,60+,0.05,0.014925373134328358,0.06117331537803186
base,458,20-29,0.1,0.25,0.15743107269979564
base,459,40-49,0.0,0.0,0.0
base,460,60+,0.05,0.030303030303030304,0.08961728720334347
base,461,0-9,0.0,0.0,0.0
base,462,10-19,0.0,0.0,0.0
base,463,40-49,0.05,0.07142857142857142,0.048159222084064895
base,464,40-49,0.05,0.07692307692307693,0.062242588308449316
base,465,20-29,0.0,0.0,0.0
base,466,20-29,0.05,0.125,0.09010000865236768
base,467,10-19,0.0,0.0,0.0
base,468,40-49,0.1,0.16666666666666666,0.10186174192808357
base,469,0-9,0.0,0.0,0.0
base,470,30-39,0.0,0.0,0.0
base,471,10-19,0.0,0.0,0.0
base,472,0-9,0.0,0.0,0.0
base,473,40-49,0.0,0.0,0.0
base,474,30-39,0.1,0.2222222222222222,0.2885584281047932
base,475,30-39,0.05,0.1,0.051811563545175146
base,476,10-19,0.0,0.0,0.0
base,477,40-49,0.0,0.0,0.0
base,478,10-19,0.0,0.0,0.0
base,479,10-19,0.0,0.0,0.0
base,480,20-29,0.0,0.0,0.0
base,481,0-9,0.0,0.0,0.0
base,482,0-9,0.05,0.3333333333333333,0.10684080426179023
base,483,40-49,0.05,0.07692307692307693,0.056210658265822395
base,484,20-29,0.05,0.14285714285714285,0.08671382849411972
base,485,20-29,0.0,0.0,0.0
base,486,50-59,0.1,0.14285714285714285,0.08397103154084785
base,487,30-39,0.05,0.1,0.050924439617225085
base,488,50-59,0.2,0.26666666666666666,0.22046824294665773
base,489,60+,0.15,0.075,0.1369822674637895
base,490,20-29,0.0,0.0,0.0
base,491,40-49,0.0,0.0,0.0
base,492,60+,0.1,0.1,0.16063730702017212
base,493,0-9,0.0,0.0,0.0
base,494,60+,0.0,0.0,0.0
base,495,0-9,0.0,0.0,0.0
base,496,0-9,0.0,0.0,0.0
base,497,0-9,0.0,0.0,0.0
base,498,0-9,0.05,0.3333333333333333,0.11480929472601784
base,499,10-19,0.05,0.25,0.16812753627111746
base,500,0-9,0.0,0.0,0.0
base,501,60+,0.15,0.13043478260869565,0.11402990215778758
base,502,50-59,0.15,0.2,0.2850008266370794
base,503,0-9,0.0,0.0,0.0
base,504,60+,0.0,0.0,0.0
base,505,0-9,0.05,0.3333333333333333,0.16716045496620227
base,506,0-9,0.0,0.0,0.0
base,507,50-59,0.05,0.06666666666666667,0.0493171240499355
base,508,10-19,0.05,0.25,0.16812753627111746
base,509,60+,0.15,0.15789473684210525,0.2524354659940558
base,510,10-19,0.0,0.0,0.0
base,511,10-19,0.0,0.0,0.0
base,512,0-9,0.0,0.0,0.0
base,513,0-9,0.1,1.0,0.9197207891481876
base,514,20-29,0.0,0.0,0.0
base,515,20-29,0.0,0.0,0.0
base,516,20-29,0.0,0.0,0.0
base,517,10-19,0.0,0.0,0.0
base,518,0-9,0.0,0.0,0.0
base,519,10-19,0.0,0.0,0.0
base,520,20-29,0.1,0.3333333333333333,0.1992173326479437
base,521,0-9,0.0,0.0,0.0
base,522,60+,0.0,0.0,0.0
base,523,30-39,0.05,0.1,0.07839826897867533
base,524,30-39,0.1,0.2222222222222222,0.2190529912912297
base,525,0-9,0.0,0.0,0.0
base,526,10-19,0.0,0.0,0.0
base,527,60+,0.1,0.07692307692307693,0.0921553234795575
base,528,10-19,0.0,0.0,0.0
base,529,60+,0.1,0.1111111111111111,0.10205889972552892
base,530,0-9,0.0,0.0,0.0
base,531,0-9,0.05,0.5,0.14434031438272124
base,532,10-19,0.1,0.5,0.2855154634164408
base,533,0-9,0.0,0.0,0.0
base,534,60+,0.0,0.0,0.0
base,535,0-9,0.05,0.3333333333333333,0.11480929472601784
base,536,60+,0.05,0.05555555555555555,0.047934103497110726
base,537,60+,0.0,0.0,0.0
base,538,20-29,0.0,0.0,0.0
base,539,10-19,0.05,0.3333333333333333,0.46927872602275644
base,540,0-9,0.0,0.0,0.0
base,541,0-9,0.0,0.0,0.0
base,542,0-9,0.0,0.0,0.0
base,543,0-9,0.05,0.5,0.16104282508920814
base,544,10-19,0.0,0.0,0.0
base,545,20-29,0.0,0.0,0.0
base,546,20-29,0.0,0.0,0.0
base,547,60+,0.05,0.05263157894736842,0.0489289587929152
base,548,10-19,0.05,0.25,0.13012668333070054
base,549,10-19,0.0,0.0,0.0
base,550,10-19,0.0,0.0,0.0
base,551,60+,0.2,0.047619047619047616,0.14476207801643712
base,552,60+,0.1,0.05555555555555555,0.07741506737542789
base,553,20-29,0.05,0.14285714285714285,0.06724864386295124
base,554,40-49,0.05,0.07692307692307693,0.11781210270929884
base,555,30-39,0.0,0.0,0.0
base,556,20-29,0.0,0.0,0.0
base,557,10-19,0.0,0.0,0.0
base,558,0-9,0.0,0.0,0.0
base,559,60+,0.0,0.0,0.0
base,560,20-29,0.1,0.2857142857142857,0.3374574959897939
base,561,10-19,0.1,0.5,0.3382013321093846
base,562,40-49,0.15,0.23076923076923078,0.28132651438765643
base,563,0-9,0.0,0.0,0.0
base,564,10-19,0.0,0.0,0.0
base,565,0-9,0.0,0.0,0.0
base,566,10-19,0.0,0.0,0.0
base,567,20-29,0.05,0.16666666666666666,0.11706259313796354
base,568,0-9,0.05,0.3333333333333333,0.13565197343244778
base,569,10-19,0.0,0.0,0.0
base,570,10-19,0.0,0.0,0.0
base,571,0-9,0.05,0.3333333333333333,0.1309019901681972
base,572,10-19,0.0,0.0,0.0
base,573,0-9,0.0,0.0,0.0
base,574,60+,0.05,0.05555555555555555,0.035769798946978335
base,575,10-19,0.0,0.0,0.0
base,576,30-39,0.0,0.0,0.0
base,577,0-9,0.0,0.0,0.0
base,578,10-19,0.05,0.2,0.09165402792833294
base,579,20-29,0.0,0.0,0.0
base,580,10-19,0.0,0.0,0.0
base,581,10-19,0.0,0.0,0.0
base,582,20-29,0.0,0.0,0.0
base,583,0-9,0.0,0.0,0.0
base,584,0-9,0.0,0.0,0.0
base,585,20-29,0.0,0.0,0.0
base,586,10-19,0.05,0.16666666666666666,0.0740318445087683
base,587,40-49,0.1,0.15384615384615385,0.12432255283313073
base,588,10-19,0.0,0.0,0.0
base,589,20-29,0.05,0.16666666666666666,0.07123530534387781
base,590,10-19,0.0,0.0,0.0
base,591,30-39,0.0,0.0,0.0
base,592,0-9,0.0,0.0,0.0
base,593,10-19,0.0,0.0,0.0
base,594,0-9,0.0,0.0,0.0
base,595,60+,0.0,0.0,0.0
base,596,10-19,0.0,0.0,0.0
base,597,50-59,0.0,0.0,0.0
base,598,0-9,0.05,0.3333333333333333,0.13565197343244778
base,599,60+,0.1,0.06451612903225806,0.08898032113999996
base,600,40-49,0.05,0.08333333333333333,0.056760172607960534
base,601,50-59,0.0,0.0,0.0
base,602,40-49,0.05,0.07692307692307693,0.04395738023645723
