user_id,n_hits,n_test_items,hit_items,hit_ranks
3224,4,33,8562;10175;4666;4949,2;8;12;13
3238,4,62,7665;2936;1824;1407,5;9;17;20
3440,4,16,95;282;5902;10361,5;8;10;20
3518,4,29,5807;4624;11752;4362,3;5;11;16
3549,4,22,11608;11321;204;5851,5;7;10;20
3558,4,16,8;8857;9802;12155,6;7;10;14
3595,4,45,5745;12633;1715;7092,8;9;10;17
3615,4,18,10346;8475;5887;10768,1;2;15;18
3618,4,22,9126;10314;12018;11674,1;2;9;11
3634,4,27,10375;11484;2415;13136,3;7;13;19
4070,4,62,8484;5949;3584;4646,2;4;6;9
4122,4,27,12739;13327;11484;3029,1;6;18;19
4392,4,5,4721;13514;2323;2607,10;14;17;18
4690,4,7,7228;13181;4402;8845,1;4;8;9
5197,4,36,10125;2880;8753;12781,5;9;13;16
6101,4,24,11343;10152;12745;11725,1;6;13;14
7215,4,40,5622;12751;1875;7910,5;13;15;20
7339,4,50,6275;10381;7453;1068,2;8;11;14
7674,4,7,3884;7215;6052;7497,3;11;12;14
7844,4,17,3033;8988;3370;11605,3;7;9;16
7997,4,70,1776;1573;5747;11348,2;10;14;18
8154,4,17,12751;820;4204;5622,12;13;14;17
8355,4,19,3111;4684;7198;13222,3;5;7;13
9615,4,23,9021;12766;10125;1523,1;3;4;13
11984,4,29,6124;10314;11430;4646,2;4;5;12
12067,4,4,1436;9021;5755;7175,1;2;13;19
12660,4,18,11723;11119;2485;11180,3;9;10;20
24,3,10,2895;12889;3884,3;6;7
26,3,16,5971;11503;11818,8;13;18
32,3,18,295;2385;9745,2;5;19
80,3,34,4393;460;2246,2;3;9
87,3,53,163;8487;11636,1;10;14
140,3,11,14061;4728;6488,4;15;18
160,3,20,1587;10473;11847,5;7;17
174,3,17,5938;2082;7154,4;8;13
196,3,19,4589;3585;11321,9;12;16
270,3,16,3275;10324;11341,7;9;12
286,3,17,1626;3036;12876,3;5;7
287,3,23,9907;3355;3481,3;7;12
294,3,42,1434;8828;2880,6;10;14
296,3,50,11476;9899;7823,11;16;18
303,3,23,1973;10008;189,1;9;10
347,3,40,4252;3617;5760,3;9;13
351,3,12,12751;4354;7355,2;15;17
357,3,5,7215;4550;6155,8;14;17
358,3,6,9902;10530;1543,12;16;20
379,3,35,12764;4489;9021,7;13;17
449,3,27,10314;404;8726,3;4;6
489,3,40,5938;8500;1830,4;10;16
501,3,23,8686;12721;14014,8;14;19
502,3,15,7148;415;11725,1;4;17
509,3,19,12967;10317;3128,1;4;10
562,3,13,3196;1535;3106,1;11;20
619,3,35,4495;12752;9071,3;9;12
621,3,35,8636;10261;6148,2;4;13
631,3,113,2981;4392;11231,8;9;15
644,3,23,12794;11567;10278,4;6;14
739,3,8,4796;3032;12788,4;5;18
794,3,32,4549;12111;8983,10;15;16
829,3,12,2965;7492;10396,1;2;7
859,3,10,10184;1674;4489,4;6;10
877,3,35,87;9150;8655,7;18;20
903,3,33,6125;11490;4615,4;7;13
1013,3,18,10561;973;8544,3;7;12
1079,3,7,3043;5126;9162,3;8;17
1089,3,10,13293;5029;3380,8;9;14
1115,3,13,3330;7355;4403,8;9;12
1204,3,16,1672;4720;11475,4;5;11
1205,3,17,12126;6372;387,1;13;20
1342,3,31,12875;8560;5884,2;9;20
1360,3,7,8933;3570;8485,1;5;6
1407,3,22,11503;7523;155,3;14;18
1417,3,19,11644;8588;6423,3;9;18
1452,3,42,2880;8636;6388,1;10;18
1493,3,24,6146;11030;8901,11;12;16
1550,3,18,12993;11570;2940,7;14;15
1579,3,24,10387;1621;4624,11;12;19
1594,3,18,988;3163;11039,3;11;20
1595,3,27,2345;8093;9704,5;6;10
1643,3,17,10317;7286;12036,2;14;19
1688,3,31,1443;13236;7147,2;16;17
1717,3,32,12932;6002;9302,3;4;11
1719,3,21,1889;4753;7751,2;8;16
1729,3,14,4460;10346;11341,3;6;8
1866,3,17,12967;10089;8621,2;12;15
1904,3,9,5938;1626;11387,1;16;19
1905,3,5,3184;8532;7147,2;9;17
2205,3,8,1889;6038;1528,7;8;12
2228,3,9,7132;12950;3012,1;7;8
2322,3,5,8912;3200;4584,2;9;20
2360,3,4,7461;10278;5949,3;4;17
2405,3,21,12750;4489;12932,2;15;18
2407,3,11,12239;3275;8475,3;6;13
2506,3,37,7174;9199;5871,6;15;20
2514,3,18,10208;11369;3047,5;10;17
2613,3,18,7680;12721;243,1;3;14
2616,3,5,3341;2579;10428,1;2;11
2625,3,14,80;50;8523,2;5;6
2674,3,18,9776;13023;12042,2;3;7
2683,3,16,62;8532;3001,1;4;7
2719,3,7,2032;10346;11416,6;7;19
2739,3,7,1491;12720;1573,5;10;16
2889,3,14,13259;9917;4895,5;6;15
2947,3,9,4623;10866;13246,4;5;18
3040,3,9,13081;13856;442,6;11;13
3132,3,18,11395;3029;481,1;2;16
3173,3,43,4408;4443;1565,1;8;16
3175,3,15,8901;6029;11227,6;8;10
3280,3,7,2159;12773;4921,1;17;20
3316,3,39,7261;13259;2907,13;18;19
3321,3,4,10977;2183;6361,4;10;17
3375,3,22,1436;8492;150,1;4;20
3409,3,22,3001;10460;13349,1;13;15
3437,3,24,7050;13509;8543,4;15;20
3471,3,8,3036;9965;11470,2;10;19
3547,3,21,13638;6528;8226,6;8;14
3584,3,23,7134;1565;11560,4;14;15
3604,3,4,8523;2036;5788,3;9;11
3606,3,27,245;7189;460,6;14;17
3643,3,8,11313;3381;4994,1;14;17
3649,3,5,5957;3012;13188,3;7;11
3755,3,12,3079;2880;6148,11;12;20
3823,3,6,10432;2108;7478,5;9;18
3995,3,18,341;11672;12781,11;12;15
4176,3,20,13091;3361;481,1;12;15
4194,3,11,7114;4556;13188,7;15;20
4318,3,12,4402;8707;3359,1;4;17
4371,3,14,5797;1436;11385,1;4;9
4396,3,13,8540;3036;3047,1;3;12
4633,3,14,3330;13020;4468,11;12;20
4705,3,25,7446;10184;1436,2;6;17
4980,3,18,11430;13867;3818,3;5;12
5151,3,12,8560;12764;2040,3;7;8
5224,3,21,2880;10184;10387,6;9;15
5226,3,13,2880;2879;1621,4;11;13
5724,3,6,7270;8652;10008,5;10;13
5760,3,23,2170;6388;7217,3;11;16
5761,3,4,9928;4351;9087,3;9;15
5787,3,18,9484;817;1309,3;5;11
5994,3,26,12845;4584;6014,8;9;19
6002,3,9,1511;6397;1889,5;6;10
6022,3,25,1416;12631;5622,3;5;8
6075,3,11,10714;8610;1692,9;15;16
6173,3,12,12794;11403;9879,3;11;13
6248,3,19,2891;11739;12893,1;10;16
6306,3,29,4471;8817;7306,5;8;18
6339,3,7,8497;4351;11757,8;17;19
6772,3,20,3245;7300;3208,4;12;20
6865,3,12,3196;13023;8469,3;8;17
7022,3,8,8540;11637;8751,2;9;12
7049,3,9,13503;6121;11076,1;4;10
7312,3,6,1653;5760;4535,1;14;18
7320,3,3,8521;5749;2566,13;15;18
7430,3,14,2512;7543;3251,8;14;16
7511,3,6,9885;4362;9403,1;3;15
7614,3,31,2996;3285;3516,4;7;16
7668,3,17,4599;11584;658,3;6;20
7742,3,26,12829;10326;11493,10;14;19
7941,3,4,2159;441;6034,2;10;13
8021,3,7,13775;4703;7567,6;12;15
8031,3,3,5805;3036;11387,4;9;17
8106,3,12,1565;7184;3350,2;3;12
8119,3,11,4399;13283;6040,1;5;20
8165,3,15,3451;9928;11672,10;17;20
8179,3,10,4103;2198;12889,3;11;14
8334,3,14,11801;12123;4749,1;2;5
8545,3,8,8523;9313;5980,6;11;19
8650,3,25,5845;9141;11349,6;11;20
8655,3,36,403;10227;4856,4;12;20
8815,3,15,1157;5246;10485,2;4;7
8920,3,33,11424;13842;7174,7;15;19
8958,3,23,4711;3036;5755,1;7;13
9012,3,29,9910;5010;11485,3;4;6
9026,3,19,11805;4403;9892,10;11;13
9153,3,3,8586;9225;5487,4;9;11
9197,3,29,8572;1973;1186,1;4;12
9209,3,5,11341;7122;8484,1;6;16
9333,3,8,8652;9899;1973,1;8;13
9409,3,23,2485;12334;11269,1;3;18
9624,3,16,13001;9901;3486,7;17;19
9659,3,9,4483;9094;1493,10;13;14
9782,3,10,8610;4890;11513,8;12;17
9875,3,7,8427;4098;4431,5;15;16
9942,3,9,3523;4312;11917,7;19;20
9960,3,7,3111;12764;4489,8;10;16
10003,3,4,6984;9957;5929,4;11;13
10066,3,16,13909;13448;3442,5;8;12
10197,3,7,2168;4133;7567,1;10;13
10217,3,16,13138;8991;14034,3;6;14
10321,3,11,7092;13503;10002,3;9;18
10324,3,10,3846;12794;2774,2;5;13
10345,3,6,8636;4489;3080,1;6;19
10369,3,13,4927;10916;4086,5;10;15
10370,3,5,8901;11405;5965,9;10;11
10398,3,13,9119;13524;1351,15;16;19
10475,3,9,12827;2916;7241,4;7;13
10597,3,61,9891;5860;4870,1;3;12
10599,3,18,426;6263;3671,7;13;17
10621,3,5,2942;12764;10012,1;2;18
10823,3,4,10096;4929;7312,13;17;20
10907,3,10,7174;14084;3397,1;4;8
11068,3,34,3106;3183;2881,1;4;19
11105,3,5,10204;9917;11761,5;6;13
11120,3,6,2942;5750;7879,1;6;15
11175,3,6,3598;4394;3504,5;6;17
11252,3,5,4352;4508;12833,4;9;15
11406,3,4,7010;13069;7664,2;3;20
11466,3,13,3893;11714;1792,6;9;17
11712,3,4,216;6146;8513,5;9;19
11856,3,17,10390;13293;3002,1;6;17
11883,3,4,2050;11857;6557,1;3;16
11888,3,10,11790;6231;4907,5;7;17
11915,3,11,7340;12802;6389,1;3;7
11924,3,11,12802;7054;2158,3;7;17
12008,3,29,8487;4412;5998,5;7;15
12035,3,31,7210;11329;3050,1;4;12
12074,3,8,8969;11878;11814,4;5;20
12103,3,19,13005;4890;881,2;5;14
12508,3,17,111;9042;9978,1;3;8
12632,3,13,2880;4747;7827,6;14;15
12888,3,10,5124;5841;12631,3;9;16
13278,3,6,2942;9113;5906,3;8;11
13389,3,6,10317;7680;10259,1;8;18
15027,3,3,10716;6463;10996,1;2;20
15270,3,3,7881;9928;4489,3;4;16
6,2,21,1500;7376,10;11
15,2,24,1821;1826,12;17
27,2,19,5847;115,5;8
34,2,54,140;9928,1;2
39,2,9,2181;7092,2;6
42,2,3,8540;7125,1;19
77,2,16,12726;5845,5;9
83,2,12,2640;3118,7;9
92,2,13,6315;2068,5;20
93,2,6,3400;7563,2;20
110,2,13,9968;4753,8;12
115,2,13,169;4614,2;18
117,2,3,4352;9902,1;7
138,2,4,2979;7737,14;17
144,2,19,321;8874,1;5
177,2,3,2052;7088,3;18
202,2,26,11341;10008,12;20
231,2,37,8976;2880,12;16
232,2,49,5891;13488,12;18
234,2,18,1453;5088,8;17
253,2,40,10784;460,4;17
266,2,17,58;10366,5;19
271,2,41,5827;12764,8;13
281,2,9,7167;6625,14;19
288,2,3,4352;8560,5;10
309,2,5,8544;7121,11;19
312,2,17,2940;11655,5;12
316,2,15,5192;602,1;6
334,2,6,4478;9888,4;11
366,2,9,7228;3049,3;15
378,2,4,8874;3891,3;18
393,2,15,9252;6602,4;16
406,2,11,3079;12855,1;16
412,2,21,9994;341,8;15
415,2,8,1509;7340,6;12
419,2,10,11551;8482,2;18
458,2,8,8590;10101,7;10
468,2,12,1899;3612,11;17
474,2,9,4702;6123,1;20
486,2,14,4403;3368,17;19
492,2,20,7121;8692,2;3
513,2,2,3036;4352,1;3
520,2,6,2047;3281,4;20
524,2,9,12794;4352,2;9
527,2,26,2994;4879,7;8
529,2,18,4510;10152,6;8
532,2,4,11309;12119,3;19
552,2,36,4615;12075,10;14
560,2,7,1493;11323,1;20
561,2,4,9318;12002,2;18
587,2,13,7175;1573,5;11
599,2,31,7276;10535,6;12
623,2,6,8603;4138,6;20
638,2,16,11388;5864,16;18
643,2,6,6088;10476,4;20
694,2,21,3114;1916,6;11
708,2,7,7329;4173,6;15
754,2,16,3031;3062,13;18
755,2,9,6155;4589,9;10
763,2,29,7758;12393,3;12
764,2,11,12737;7238,1;7
781,2,8,12967;4801,7;15
819,2,38,6984;3012,12;20
840,2,31,8661;7648,5;7
843,2,15,11403;12723,11;14
853,2,5,3857;12385,11;15
854,2,10,5824;12768,4;15
864,2,13,11884;2666,5;18
889,2,11,4753;4725,3;18
890,2,13,3616;1916,14;17
894,2,5,10054;3393,10;20
897,2,7,9021;1527,3;18
912,2,6,7790;9447,5;8
919,2,14,2271;11910,7;9
942,2,20,5772;2241,6;14
987,2,3,4890;8610,1;14
991,2,3,3118;7458,4;5
1002,2,17,3229;403,10;18
1043,2,22,4623;10365,14;18
1044,2,6,5975;1573,6;12
1054,2,10,3229;5846,1;8
1066,2,5,4550;11790,3;17
1077,2,4,6034;7561,3;9
1092,2,17,1481;7625,15;20
1099,2,11,4438;8945,1;11
1105,2,4,9875;5935,6;15
1107,2,11,5779;4370,13;15
1136,2,5,2892;9879,5;7
1145,2,4,2049;9341,12;18
1165,2,3,5230;4353,1;5
1170,2,28,9987;12783,8;16
1177,2,22,1565;4393,5;7
1201,2,25,6441;5269,1;15
1211,2,3,9960;5948,1;3
1227,2,21,10174;6274,10;12
1231,2,7,3419;12786,11;15
1243,2,50,1989;6036,18;19
1253,2,9,5846;11343,12;17
1260,2,17,10923;12823,8;9
1266,2,21,1436;5852,1;4
1271,2,6,1691;3351,12;13
1272,2,9,1464;10889,9;15
1276,2,5,11343;5803,3;5
1306,2,10,12750;1683,7;14
1315,2,9,1753;12743,2;9
1323,2,3,8912;5881,9;14
1328,2,11,372;3031,3;7
1338,2,12,7134;3032,2;19
1366,2,26,1651;675,8;16
1384,2,9,159;4552,3;19
1394,2,12,4354;1875,1;6
1404,2,19,8500;10184,3;13
1428,2,22,1617;12739,4;8
1435,2,21,11321;5851,3;6
1459,2,12,11770;13236,12;13
1490,2,11,2886;4452,1;5
1509,2,6,3183;2943,1;6
1523,2,17,62;11321,2;8
1539,2,5,1856;11739,11;16
1541,2,9,7263;12950,1;14
1584,2,24,1691;7543,5;19
1598,2,13,4598;2880,7;11
1601,2,12,12764;1644,1;7
1628,2,7,7282;14038,6;13
1636,2,13,4550;10196,7;8
1638,2,5,4315;12433,7;18
1650,2,6,7175;11484,2;8
1660,2,8,10662;8601,12;15
1670,2,6,6088;2138,9;14
1674,2,9,7189;11969,6;9
1691,2,38,7119;7234,1;17
1750,2,29,1563;10354,5;6
1765,2,17,12794;11430,17;19
1791,2,6,4354;10188,3;18
1798,2,26,10058;5896,10;13
1805,2,6,9263;12323,1;9
1807,2,5,1500;4492,8;14
1815,2,3,10209;8497,4;18
1822,2,5,1658;2882,4;20
1849,2,25,777;10013,11;13
1856,2,22,1565;6485,1;4
1896,2,13,1842;4554,15;16
1900,2,15,1658;6459,4;16
1937,2,8,5101;10204,16;18
1945,2,17,11803;6389,13;14
1952,2,6,4770;7092,10;17
1982,2,13,1626;8912,5;9
1986,2,12,1915;11792,6;8
1995,2,11,1792;4890,4;10
2036,2,14,7184;5988,9;14
2040,2,4,12305;1726,3;15
2057,2,8,9944;4495,5;16
2070,2,56,3307;1575,16;20
2075,2,27,640;10184,5;17
2104,2,12,12764;12849,2;12
2105,2,37,4372;1483,3;8
2112,2,15,8935;5998,4;12
2145,2,4,3481;1735,1;6
2168,2,15,2298;4438,3;7
2171,2,14,2084;12967,4;19
2177,2,29,3507;8456,2;19
2184,2,12,1573;5797,5;12
2207,2,19,12859;5835,15;16
2209,2,3,4584;8560,5;17
2223,2,12,10157;2886,5;8
2234,2,6,7469;8661,1;18
2247,2,19,5845;9272,1;18
2259,2,16,4838;9996,5;9
2287,2,3,3360;10881,2;11
2312,2,15,566;8575,1;2
2321,2,6,10041;2332,1;9
2323,2,24,9876;11549,4;5
2350,2,7,12823;4220,5;16
2366,2,7,1555;5773,1;20
2382,2,7,2178;3138,10;20
2391,2,11,7522;13252,12;19
2410,2,7,9447;11341,15;19
2446,2,3,7087;5759,2;6
2455,2,11,5784;3076,4;5
2458,2,53,2179;10354,12;20
2459,2,14,10622;9324,15;18
2460,2,7,13374;5029,4;13
2480,2,32,66;1567,4;12
2499,2,4,5645;12802,15;18
2537,2,11,1676;3957,8;12
2538,2,12,1436;11757,2;4
2547,2,27,119;8485,8;9
2553,2,6,3080;8636,8;17
2565,2,23,9907;527,7;15
2583,2,4,3694;7591,17;20
2589,2,16,1493;5949,1;6
2591,2,6,7233;2894,10;15
2641,2,23,5936;13661,2;14
2644,2,24,12197;10255,1;4
2660,2,22,8568;10979,7;18
2677,2,15,4753;12598,11;20
2699,2,21,5860;8525,2;4
2710,2,21,8814;12042,5;19
2715,2,20,7122;1477,7;18
2718,2,7,7121;12721,2;9
2776,2,8,10057;7344,14;16
2790,2,17,3189;779,1;5
2796,2,26,1665;11393,1;17
2797,2,3,5796;6132,13;15
2801,2,5,1653;11343,3;17
2821,2,8,1621;9893,4;14
2824,2,5,9875;6052,2;8
2859,2,16,95;13697,3;17
2870,2,25,2016;13659,9;12
2892,2,5,9987;11484,2;7
2893,2,6,7162;7282,5;20
2898,2,17,675;12728,5;17
2901,2,12,5891;2045,5;19
2920,2,23,3019;3333,3;6
2951,2,11,3239;4572,2;11
2954,2,8,7225;4535,6;7
2967,2,13,1784;3304,9;17
2974,2,13,12226;8606,6;8
2975,2,21,12833;13227,6;8
2977,2,8,13089;7919,8;18
2985,2,11,5864;12347,5;8
2990,2,5,5627;8685,3;19
3020,2,10,1611;6213,9;13
3034,2,14,11480;2952,2;4
3038,2,4,5463;8531,3;6
3075,2,9,2895;4589,9;11
3086,2,3,11336;10306,12;14
3098,2,14,4940;4306,2;4
3152,2,10,4412;12764,9;11
3167,2,8,3856;10104,8;20
3168,2,26,3029;13150,4;15
3179,2,16,165;2936,8;15
3186,2,14,7068;9802,4;9
3188,2,13,10410;2355,11;17
3223,2,5,10785;4266,13;14
3231,2,12,404;2165,8;19
3242,2,14,11640;6544,13;14
3254,2,18,13478;6029,18;20
3278,2,12,1721;1747,13;18
3309,2,8,3481;5998,6;17
3318,2,5,2932;4733,1;17
3322,2,28,2446;10237,11;20
3333,2,15,579;4351,4;5
3370,2,8,4861;10287,1;17
3374,2,11,3036;10175,6;9
3392,2,12,3584;6026,3;13
3412,2,23,12822;8485,7;17
3417,2,14,2886;11316,12;13
3442,2,3,2075;4372,1;10
3459,2,4,12764;5948,2;10
3464,2,19,11692;769,16;19
3488,2,6,2897;11323,2;18
3495,2,14,143;2897,13;18
3542,2,14,11332;10261,1;16
3555,2,24,1491;5817,7;11
3579,2,3,11974;8919,8;19
3597,2,9,7312;6148,2;15
3608,2,12,1946;4392,9;15
3620,2,15,155;5988,5;20
3628,2,8,3032;3368,1;19
3638,2,20,808;9570,7;8
3673,2,14,6094;199,2;15
3680,2,17,12822;10317,3;16
3683,2,15,11637;3128,15;16
3714,2,11,3036;8469,2;17
3717,2,5,11612;1528,3;16
3723,2,11,13252;4031,2;9
3745,2,3,8636;1573,11;13
3746,2,10,2075;4889,2;9
3779,2,24,9716;9589,4;8
3795,2,14,12263;4132,7;15
3808,2,14,1653;1658,12;15
3810,2,12,4631;8692,2;13
3824,2,11,12544;10869,10;16
3847,2,6,8556;4965,1;15
3851,2,4,303;3589,10;11
3852,2,9,9899;12794,4;8
3885,2,5,5925;9550,1;6
3886,2,16,9924;11343,2;6
3896,2,3,4890;8610,1;12
3898,2,6,547;1676,8;20
3934,2,4,7568;838,5;17
3955,2,5,5772;6718,3;10
3959,2,8,5662;9047,2;9
3960,2,23,5995;10048,5;18
3970,2,6,11341;10008,3;18
3998,2,8,5988;7320,4;18
4005,2,18,12928;519,1;10
4018,2,8,334;1993,13;20
4036,2,31,11332;150,7;18
4046,2,12,3301;8918,6;12
4058,2,6,1621;9885,1;12
4066,2,16,262;10184,5;20
4090,2,4,3192;2916,14;15
4110,2,3,13088;1509,8;18
4168,2,3,4993;2065,2;11
4188,2,12,12848;11776,7;15
4193,2,15,2880;11932,9;10
4202,2,12,13304;1528,7;19
4274,2,3,4713;12736,8;13
4283,2,22,12750;1573,8;17
4284,2,23,11484;8487,14;20
4301,2,3,6087;3078,2;4
4304,2,20,11716;11588,5;10
4310,2,19,548;12794,2;14
4338,2,11,4417;1523,14;18
4378,2,4,8834;6231,3;10
4391,2,6,3533;6565,3;10
4394,2,12,11317;10196,9;19
4425,2,7,11668;11732,3;12
4437,2,6,6485;1889,2;5
4448,2,13,4784;2446,7;14
4463,2,19,13213;8812,5;20
4477,2,7,1760;2032,3;13
4490,2,4,8636;5884,15;18
4491,2,16,11804;1563,1;12
4499,2,20,3155;12858,11;15
4540,2,2,7085;5146,6;12
4544,2,9,6411;3036,1;3
4549,2,7,7134;10473,12;14
4555,2,7,2179;13008,5;12
4590,2,5,4921;3560,9;13
4620,2,8,6087;9536,11;12
4693,2,3,159;10607,2;11
4703,2,25,8532;0,14;18
4721,2,3,5170;10623,12;14
4727,2,10,6014;11516,2;12
4739,2,11,1173;12993,16;18
4742,2,6,7793;3275,2;6
4765,2,13,8540;3047,2;7
4801,2,30,10245;13574,11;19
4822,2,7,5796;13188,6;10
4829,2,7,8918;8929,5;17
4837,2,4,6034;4921,6;11
4861,2,11,3022;12809,12;20
4864,2,6,4372;2171,5;20
4875,2,18,11321;8517,1;18
4907,2,5,7354;5929,5;16
4943,2,7,5682;2885,8;11
4948,2,11,3036;7113,1;13
4987,2,3,5881;10530,1;9
5020,2,12,5228;5029,2;18
5021,2,10,2886;7344,3;15
5047,2,5,9960;9042,18;19
5049,2,18,8925;372,8;16
5069,2,8,8910;9944,14;16
5077,2,10,9150;11559,11;20
5112,2,3,2940;9983,3;4
5122,2,16,12794;109,1;19
5127,2,6,10101;4472,1;17
5146,2,4,2939;2975,14;19
5149,2,13,9896;8525,4;5
5152,2,6,235;9888,11;16
5184,2,5,12822;8540,1;4
5198,2,6,11416;7122,3;5
5199,2,10,1651;4552,19;20
5200,2,10,7122;11660,4;19
5212,2,6,3275;9899,7;11
5221,2,11,1455;9875,9;11
5233,2,7,4489;13335,5;12
5247,2,8,10556;9895,17;20
5250,2,10,9879;5887,5;7
5252,2,6,3208;10208,1;5
5259,2,5,11583;4508,9;14
5262,2,5,3318;5871,17;18
5324,2,9,2068;1965,2;9
5381,2,30,7790;2849,13;20
5427,2,18,6300;1965,5;14
5450,2,4,1563;11323,2;16
5455,2,11,11343;3033,5;8
5458,2,21,7434;12789,6;15
5459,2,6,11323;11644,3;13
5465,2,7,9187;7621,3;17
5538,2,17,460;1875,6;18
5602,2,6,8540;11504,5;18
5693,2,9,1464;12728,6;9
5768,2,9,11416;12730,1;9
5788,2,5,2880;7175,1;13
5833,2,4,8538;5755,2;10
5871,2,3,5446;3198,2;3
5908,2,7,9272;12538,1;18
5911,2,5,12465;5864,3;4
5912,2,7,1504;3032,5;16
5921,2,29,12998;10502,3;13
5923,2,3,5750;10237,1;9
5944,2,7,11226;11732,6;14
5947,2,3,7929;11514,2;3
5962,2,9,11906;4370,5;7
5991,2,12,5784;7777,6;8
6088,2,18,910;10188,5;17
6102,2,14,4592;3370,13;15
6109,2,5,13563;6354,3;8
6122,2,2,6052;9142,4;12
6133,2,22,3233;12873,3;4
6136,2,11,8686;12825,5;9
6174,2,3,8468;9902,1;3
6183,2,17,4790;12136,10;20
6186,2,5,4418;5750,5;8
6195,2,18,9141;1691,2;17
6223,2,10,12794;7793,3;12
6256,2,9,9021;1651,4;13
6257,2,9,5755;490,7;13
6274,2,16,1194;4804,5;13
6275,2,5,13478;5961,6;17
6283,2,10,11484;6148,6;17
6327,2,4,4237;4244,3;5
6330,2,7,5796;11855,3;14
6337,2,3,10081;8226,2;8
6341,2,4,1535;2911,19;20
6351,2,16,346;10147,5;15
6359,2,4,820;7464,2;4
6368,2,6,10716;3429,4;7
6386,2,8,12858;10346,12;15
6397,2,16,10184;2995,5;6
6403,2,5,12794;5949,1;18
6436,2,15,11605;13221,5;19
6439,2,17,3567;2058,6;9
