user_id,n_hits,n_test_items,hit_items,hit_ranks
351,1,12,12751,2
449,1,27,404,4
489,2,40,5938;8500,4;10
501,3,23,8686;12721;14014,8;14;19
502,2,15,7148;11725,1;17
509,2,19,12967;3128,1;10
619,1,35,9071,12
621,2,35,8636;10261,2;4
631,1,113,11231,15
644,2,23,12794;10278,4;14
739,1,8,3032,5
794,2,32,4549;12111,10;15
859,1,10,10184,4
877,1,35,9150,18
903,1,33,6125,4
1013,1,18,973,7
1079,1,7,3043,3
1204,1,16,4720,5
1205,1,17,12126,1
1342,3,31,12875;8560;5884,2;9;20
1360,1,7,8933,1
1407,2,22,11503;155,3;18
1417,1,19,11644,3
1452,1,42,2880,1
1550,1,18,2940,15
1643,2,17,10317;7286,2;14
1717,1,32,9302,11
1719,2,21,1889;7751,2;16
1866,1,17,10089,12
1904,3,9,5938;1626;11387,1;16;19
2228,1,9,12950,7
2405,1,21,12932,18
2407,2,11,12239;8475,3;13
2506,1,37,7174,6
2514,1,18,11369,10
2613,2,18,12721;243,3;14
2674,2,18,9776;12042,2;7
2683,2,16,62;8532,1;4
2719,2,7,10346;11416,7;19
2947,1,9,10866,5
3040,1,9,13856,11
3132,2,18,11395;481,1;16
3173,1,43,1565,16
3175,1,15,11227,10
3280,3,7,2159;12773;4921,1;17;20
3409,1,22,3001,1
3437,1,24,8543,20
3471,3,8,3036;9965;11470,2;10;19
3547,1,21,13638,6
3584,1,23,1565,14
3604,2,4,2036;5788,9;11
3606,1,27,460,17
3643,1,8,11313,1
3755,1,12,6148,20
3995,3,18,341;11672;12781,11;12;15
4176,3,20,13091;3361;481,1;12;15
4371,1,14,5797,1
4705,2,25,10184;1436,6;17
4980,2,18,13867;3818,5;12
5151,2,12,8560;2040,3;8
5224,1,21,2880,6
5226,1,13,2880,4
5761,1,4,9928,3
5787,3,18,9484;817;1309,3;5;11
5994,2,26,4584;6014,9;19
6002,1,9,1889,10
6075,2,11,8610;1692,15;16
6248,2,19,11739;12893,10;16
6306,1,29,7306,18
6339,2,7,8497;4351,8;17
6772,2,20,7300;3208,12;20
6865,1,12,13023,8
7312,1,6,5760,14
7430,1,14,7543,14
7941,2,4,441;6034,10;13
8021,1,7,13775,6
8031,1,3,11387,17
8106,1,12,3350,12
8119,1,11,4399,1
8165,1,15,3451,10
8179,2,10,4103;2198,3;11
8334,1,14,12123,2
8650,3,25,5845;9141;11349,6;11;20
8655,2,36,10227;4856,12;20
8815,2,15,1157;10485,2;7
8920,1,33,7174,19
8958,3,23,4711;3036;5755,1;7;13
9012,1,29,11485,6
9153,2,3,8586;9225,4;9
9197,1,29,1973,4
9409,2,23,2485;12334,1;3
10003,1,4,6984,4
10066,3,16,13909;13448;3442,5;8;12
10321,1,11,13503,9
10324,1,10,2774,13
10345,2,6,8636;3080,1;19
10398,1,13,9119,15
10475,1,9,12827,4
10597,1,61,5860,3
10599,1,18,3671,17
10823,1,4,10096,13
10907,1,10,14084,4
11068,2,34,3183;2881,4;19
11105,1,5,9917,6
11120,1,6,2942,1
11175,1,6,3504,17
11466,3,13,3893;11714;1792,6;9;17
11883,1,4,6557,16
11888,1,10,11790,5
11924,2,11,12802;2158,3;17
12008,1,29,5998,15
12035,1,31,11329,4
12103,2,19,13005;4890,2;5
12632,1,13,7827,15
12888,1,10,5124,3
13278,2,6,2942;9113,3;8
6,2,21,1500;7376,10;11
15,1,24,1826,17
34,1,54,140,1
110,1,13,4753,12
115,2,13,169;4614,2;18
117,2,3,4352;9902,1;7
138,1,4,2979,14
202,1,26,10008,20
232,1,49,5891,12
281,1,9,6625,19
312,1,17,11655,12
393,2,15,9252;6602,4;16
412,1,21,341,15
458,1,8,8590,7
468,1,12,1899,11
492,1,20,8692,3
520,1,6,2047,4
524,1,9,12794,2
527,1,26,2994,7
529,1,18,10152,8
552,1,36,4615,10
643,1,6,10476,20
694,1,21,3114,6
708,1,7,4173,15
755,1,9,4589,10
819,1,38,3012,20
840,1,31,7648,7
864,1,13,2666,18
890,1,13,3616,14
897,1,7,9021,3
912,1,6,9447,8
942,1,20,5772,6
987,1,3,4890,1
1044,1,6,5975,6
1066,1,5,4550,3
1105,2,4,9875;5935,6;15
1107,1,11,5779,13
1136,1,5,9879,7
1145,2,4,2049;9341,12;18
1170,2,28,9987;12783,8;16
1177,1,22,1565,5
1201,1,25,5269,15
1211,2,3,9960;5948,1;3
1227,1,21,10174,10
1231,1,7,12786,15
1243,2,50,1989;6036,18;19
1253,1,9,11343,17
1266,1,21,5852,4
1272,2,9,1464;10889,9;15
1276,1,5,5803,5
1306,1,10,12750,7
1315,1,9,12743,9
1328,1,11,3031,7
1338,1,12,7134,2
1366,1,26,1651,8
1384,1,9,159,3
1394,1,12,1875,6
1404,1,19,8500,3
1428,1,22,1617,4
1459,1,12,11770,12
1523,2,17,62;11321,2;8
1541,1,9,12950,14
1584,1,24,1691,5
1601,1,12,12764,1
1638,1,5,4315,7
1650,1,6,7175,2
1670,1,6,2138,14
1750,1,29,1563,5
1765,2,17,12794;11430,17;19
1798,1,26,10058,10
1815,1,3,8497,18
1849,1,25,10013,13
1900,1,15,6459,16
1937,2,8,5101;10204,16;18
1945,1,17,11803,13
1952,1,6,7092,17
1982,1,13,1626,5
2036,1,14,7184,9
2040,1,4,12305,3
2057,1,8,4495,16
2070,1,56,1575,20
2075,2,27,640;10184,5;17
2104,1,12,12764,2
2105,1,37,1483,8
2177,2,29,3507;8456,2;19
2223,1,12,2886,8
2247,1,19,5845,1
2350,1,7,12823,5
2391,1,11,7522,12
2459,1,14,10622,15
2480,1,32,1567,12
2547,1,27,8485,9
2553,1,6,8636,17
2583,1,4,3694,17
2589,1,16,5949,6
2591,1,6,2894,15
2641,1,23,13661,14
2660,1,22,8568,7
2677,1,15,4753,11
2710,1,21,12042,19
2715,1,20,1477,18
2790,1,17,3189,1
2796,1,26,11393,17
2821,1,8,1621,4
2824,1,5,9875,2
2859,2,16,95;13697,3;17
2870,1,25,13659,12
2893,1,6,7282,20
2898,2,17,675;12728,5;17
2920,1,23,3019,3
2951,1,11,4572,11
2954,2,8,7225;4535,6;7
2967,1,13,1784,9
3075,2,9,2895;4589,9;11
3152,1,10,12764,11
3167,1,8,10104,20
3168,1,26,13150,15
3179,1,16,2936,15
3186,1,14,9802,9
3188,1,13,2355,17
3309,1,8,5998,17
3333,1,15,579,4
3392,2,12,3584;6026,3;13
3412,1,23,8485,17
3417,1,14,11316,13
3488,1,6,11323,18
3495,1,14,143,13
3555,1,24,5817,11
3597,1,9,7312,2
3638,2,20,808;9570,7;8
3673,1,14,6094,2
3683,2,15,11637;3128,15;16
3714,1,11,8469,17
3717,1,5,11612,3
3746,2,10,2075;4889,2;9
3779,1,24,9589,8
3998,1,8,5988,4
4018,1,8,334,13
4090,1,4,2916,15
4283,1,22,1573,17
4284,1,23,8487,20
4304,1,20,11716,5
4310,1,19,12794,14
4391,2,6,3533;6565,3;10
4394,1,12,11317,9
4437,1,6,1889,5
4499,2,20,3155;12858,11;15
4540,1,2,5146,12
4544,2,9,6411;3036,1;3
4555,1,7,2179,5
4590,2,5,4921;3560,9;13
4693,1,3,10607,11
4721,1,3,5170,12
4727,1,10,11516,12
4739,1,11,12993,18
4822,1,7,13188,10
4837,2,4,6034;4921,6;11
4861,1,11,3022,12
4864,1,6,4372,5
4907,1,5,7354,5
4943,1,7,5682,8
5020,1,12,5228,2
5049,1,18,8925,8
5122,1,16,109,19
5127,1,6,10101,1
5149,1,13,8525,5
5152,2,6,235;9888,11;16
5184,1,5,12822,1
5199,2,10,1651;4552,19;20
5221,2,11,1455;9875,9;11
5252,1,6,10208,5
5262,1,5,3318,17
5381,2,30,7790;2849,13;20
5427,1,18,1965,14
5458,1,21,7434,6
5768,2,9,11416;12730,1;9
5908,2,7,9272;12538,1;18
5962,2,9,11906;4370,5;7
5991,2,12,5784;7777,6;8
6088,1,18,10188,17
6136,1,11,12825,9
6174,2,3,8468;9902,1;3
6183,1,17,4790,10
6257,2,9,5755;490,7;13
6274,1,16,4804,13
6337,2,3,10081;8226,2;8
6359,2,4,820;7464,2;4
6397,1,16,10184,5
6436,1,15,11605,5
6475,1,3,8466,5
6487,1,26,5755,20
6498,1,9,9902,7
6515,1,3,11804,1
6601,2,7,2159;7614,2;3
6655,1,3,1519,14
6747,2,8,4220;10366,9;12
6804,1,3,10000,7
6829,1,5,4363,14
6850,2,4,4855;7134,8;12
6927,2,9,1565;6186,7;14
6989,1,14,7957,12
7061,1,17,3050,9
7207,2,21,11356;1792,1;18
7278,1,4,2151,1
7299,1,12,1784,20
7302,1,17,4304,6
7473,1,4,7876,8
7500,1,3,5929,17
7507,1,7,13151,11
7855,1,9,13310,16
7909,1,17,5281,4
7916,1,11,12730,8
7962,2,6,3200;8560,1;10
8032,2,3,10117;4352,4;10
8125,1,24,11504,8
8131,1,14,10125,13
8145,1,12,4584,2
8185,1,15,12598,19
8197,1,10,4728,15
8211,1,5,6138,8
8320,2,7,13167;1565,5;12
8495,1,3,3183,15
8510,1,9,12316,14
8550,1,6,10184,1
8590,1,14,4917,9
8632,1,15,248,2
8657,1,7,4838,18
8727,1,16,11330,20
8817,1,8,1819,9
8885,1,8,10204,15
8935,1,6,1899,2
8982,1,4,10237,12
9089,2,6,4710;7600,7;11
9215,1,11,7184,11
9303,1,3,9281,8
9378,1,9,11739,3
9475,2,4,4572;3346,1;9
9485,1,13,4784,5
9494,1,11,10261,12
9499,1,6,5994,8
9611,1,10,1565,1
9657,1,32,10252,10
9666,1,8,1885,8
9959,1,5,4628,15
9978,1,3,4372,12
10007,1,8,2932,4
10033,1,17,11426,17
10090,2,19,7636;13138,1;5
10151,1,3,3200,7
10177,2,4,9404;1067,4;18
10352,1,8,9794,12
10355,2,7,1464;11672,1;19
10378,1,5,6442,12
10409,1,8,10075,14
10423,1,17,13138,4
10447,1,7,1715,2
10491,1,5,4753,20
10509,2,6,3279;6018,12;20
10661,2,11,2105;5283,3;4
10671,1,7,2942,3
10676,1,8,10354,9
10740,2,9,12730;4239,4;17
10746,1,10,5891,14
10778,1,10,10158,12
10791,2,11,9379;9431,1;10
10802,2,8,3368;4725,1;17
10820,1,5,3100,11
10828,2,3,1446;4362,1;13
10884,2,32,10542;2680,10;18
10895,1,5,10012,1
11017,1,7,12855,12
11023,1,4,2893,8
11070,1,4,2402,7
11104,1,17,14034,2
11112,1,17,3196,12
11259,1,5,8523,15
11285,2,6,12331;5283,5;20
11347,1,19,10054,17
11411,1,8,4351,9
11424,1,14,9141,5
11531,1,6,10798,9
11534,1,3,3887,2
11536,1,3,2892,1
11639,2,3,10008;9899,1;17
11725,1,5,4971,1
11792,1,3,9902,14
11797,2,16,9879;394,8;20
11988,2,9,4933;11146,7;9
12028,1,10,12802,5
12144,2,34,9499;7424,14;15
12248,1,3,7344,14
12343,1,5,7054,8
12352,1,3,5805,10
12354,1,19,11443,3
12373,2,4,8540;11830,17;18
12390,1,3,11596,13
12402,1,7,8164,8
12426,1,5,4273,11
12475,1,3,2942,14
12517,2,15,10008;6007,2;13
12521,1,3,1658,12
12646,1,4,10008,1
12650,1,13,7092,1
12656,1,13,3029,8
12717,2,4,10008;1973,1;4
12770,1,4,9902,7
12940,1,8,4254,4
13003,1,11,8661,19
13028,1,3,3189,11
13044,1,5,4617,5
13062,1,4,5759,14
13172,2,9,13138;4725,6;18
13235,1,4,5851,3
13644,1,3,4832,8
13686,1,5,2880,2
13763,1,3,11484,2
13797,2,4,9935;9345,1;3
14102,2,3,10317;5921,3;13
14374,2,4,8597;9418,8;20
14427,2,6,7340;4710,2;16
14528,1,3,8560,5
14546,1,3,10446,3
14597,1,3,7087,12
14801,1,3,11341,8
14830,1,3,11341,1
14920,1,3,9899,12
14923,2,3,11323;4463,12;19
14927,1,4,10622,14
14978,2,3,6116;8900,3;7
15117,1,4,8575,3
15139,1,3,11672,4
15147,1,2,5906,8
15226,1,4,4576,4
15353,2,6,8604;5756,12;13
15721,1,3,4368,14
15853,1,3,11779,10
15863,1,3,9247,18
35,1,4,5860,3
120,1,3,4489,20
133,1,19,2952,3
151,1,12,2956,16
201,1,6,9893,11
208,1,9,5826,18
211,1,20,8793,16
217,1,7,11343,8
241,1,3,6329,13
242,1,15,7254,5
248,1,5,2932,8
277,1,17,4752,10
301,1,28,12932,12
310,1,14,5841,13
314,1,12,11874,19
326,1,9,4752,6
330,1,4,6021,11
336,1,25,1776,17
342,1,6,3229,12
370,1,4,3771,14
392,1,4,1296,13
408,1,11,6557,10
418,1,24,1843,19
426,1,8,12800,17
428,1,7,2017,6
482,1,3,8518,20
483,1,13,489,9
498,1,3,8949,16
536,1,18,5650,8
554,1,13,347,2
614,1,5,12822,1
625,1,18,12838,8
641,1,13,4690,17
642,1,6,308,17
653,1,6,2052,1
660,1,5,11470,16
663,1,9,12174,1
682,1,3,1626,19
715,1,12,4637,9
752,1,26,1440,4
753,1,15,3343,4
805,1,8,5797,6
811,1,8,12778,2
830,1,18,13089,6
831,1,10,7383,10
845,1,15,7875,20
868,1,4,3012,14
870,1,20,3022,11
874,1,5,3132,11
878,1,37,6121,6
883,1,4,10175,11
891,1,9,11360,10
902,1,3,3375,19
920,1,9,6122,16
936,1,14,8959,17
951,1,14,352,1
954,1,5,3146,13
962,1,2,10055,6
967,1,4,11790,12
969,1,8,3196,3
999,1,10,8915,1
1000,1,7,1700,5
1004,1,5,12892,5
1017,1,2,8751,5
1040,1,29,7329,17
1052,1,3,8488,6
1058,1,8,10175,7
1113,1,20,13068,13
1138,1,7,8560,1
1176,1,7,9021,10
1178,1,15,10015,17
1183,1,9,8487,9
1190,1,9,8636,6
1193,1,11,1500,2
1202,1,3,4956,16
1215,1,7,13001,18
1249,1,6,5938,1
1251,1,7,1446,7
1263,1,4,5304,5
1270,1,17,9045,9
1312,1,7,11332,4
1322,1,3,7177,13
1325,1,18,11369,8
1349,1,13,10314,19
1365,1,11,11714,11
1373,1,20,8778,14
1393,1,3,5946,6
1398,1,16,1723,20
1412,1,13,6796,6
1421,1,4,7210,11
1432,1,9,11416,8
1439,1,18,779,12
1468,1,17,10702,7
1474,1,11,1554,17
1481,1,20,3228,6
1498,1,12,12706,13
1518,1,3,9888,3
1536,1,15,11425,18
1564,1,6,6052,14
1585,1,3,9949,4
1589,1,15,84,16
1669,1,76,10143,12
1672,1,12,10125,13
1679,1,12,8771,1
1707,1,22,12766,4
1710,1,3,1436,9
1711,1,4,12795,15
1780,1,16,8560,9
1800,1,7,8636,12
1836,1,3,1436,5
1845,1,18,4733,20
1861,1,3,2897,8
1872,1,4,7111,15
1878,1,14,3245,7
1891,1,4,1651,2
1914,1,8,12483,3
1949,1,3,2693,14
1954,1,2,11672,19
1971,1,13,3368,10
1973,1,10,12781,8
1984,1,3,9928,2
1989,1,3,5908,12
2005,1,3,10041,4
2008,1,21,12740,11
2019,1,7,4351,5
2033,1,13,3742,3
2034,1,3,4358,9
2039,1,9,12981,12
2046,1,3,3002,15
2100,1,4,7087,7
2106,1,12,13638,17
2123,1,10,4917,10
2127,1,14,4752,4
2128,1,7,12932,5
2143,1,4,11343,14
2167,1,21,515,9
2175,1,3,6315,3
2180,1,4,3857,9
2183,1,3,4478,13
2199,1,23,2139,20
2201,1,7,2968,9
2229,1,5,4780,1
2231,1,7,9223,8
2298,1,10,1495,18
2305,1,14,3307,3
2310,1,14,3036,15
2317,1,21,1483,4
2326,1,4,5796,12
2327,1,15,10275,6
2343,1,11,1674,2
2353,1,29,3730,1
2385,1,9,8573,13
2390,1,7,6339,13
2394,1,4,9875,15
2396,1,3,2880,7
2416,1,9,13757,16
2437,1,9,3694,3
2469,1,23,12665,8
2472,1,7,4392,2
2492,1,4,1862,7
2528,1,8,7522,6
2548,1,18,13169,14
2549,1,9,12013,17
2570,1,2,5755,4
2577,1,3,10270,16
2581,1,9,2897,4
2588,1,7,3628,2
2594,1,8,8043,6
2632,1,11,3589,14
2637,1,9,7269,5
2647,1,4,10585,1
2648,1,4,11311,8
2655,1,11,1626,15
2661,1,6,8740,12
2664,1,6,7177,17
2666,1,6,5477,7
2678,1,46,11391,17
2681,1,17,1091,8
2682,1,6,1449,3
2688,1,15,12968,13
2689,1,19,3359,11
2697,1,12,4477,3
2730,1,6,1446,10
2736,1,3,5938,2
2759,1,33,13214,5
2782,1,4,6092,19
2809,1,3,11489,13
2812,1,3,1506,13
2827,1,8,1817,15
2831,1,14,2923,13
2832,1,8,7347,16
2844,1,3,7898,13
2861,1,4,3196,1
2871,1,6,3409,1
2903,1,4,10013,10
2908,1,7,13748,6
2945,1,39,8507,7
2948,1,11,12042,3
2952,1,2,10354,13
2964,1,10,12781,7
2965,1,6,6014,4
2966,1,11,3076,4
2968,1,15,10345,17
2996,1,13,1565,3
3007,1,3,3577,5
3026,1,16,226,1
3028,1,6,10062,12
3078,1,11,14081,9
3083,1,3,1792,13
3095,1,3,1640,8
3099,1,3,4492,19
3159,1,3,3200,19
3161,1,14,1825,20
3183,1,5,10469,18
3217,1,22,9957,7
3245,1,15,119,19
3250,1,2,7589,17
3282,1,9,4351,8
3319,1,4,2168,11
3332,1,18,1605,10
3334,1,7,7461,12
3350,1,3,9902,1
3367,1,12,4561,6
3378,1,4,4763,10
3382,1,3,5846,8
3426,1,11,13039,3
3431,1,4,2159,5
3507,1,6,9903,1
3522,1,5,3036,10
3526,1,5,2904,9
3536,1,3,9902,8
3551,1,7,14040,13
3570,1,3,4680,5
3574,1,5,11341,15
3593,1,12,9126,5
3602,1,5,3228,20
3636,1,4,9949,9
3664,1,5,12838,9
3666,1,8,13315,5
3694,1,12,13668,1
3696,1,9,5972,5
3713,1,3,3304,1
3721,1,25,1500,9
3727,1,4,1436,10
3737,1,3,7228,2
3770,1,3,5881,14
3784,1,32,8636,10
3813,1,9,4381,9
3833,1,5,12036,17
3838,1,3,8469,19
3842,1,3,3381,6
3867,1,4,9304,11
3872,1,7,1889,18
3900,1,11,6186,1
3917,1,4,8540,3
3924,1,14,4370,11
3932,1,9,4471,2
3939,1,3,7135,1
3949,1,8,5921,11
3969,1,3,9902,12
3972,1,13,11333,10
3974,1,6,9386,16
3978,1,7,11321,4
3981,1,4,10015,3
4013,1,7,3208,15
4054,1,36,12799,14
4077,1,4,9096,20
4096,1,9,6321,18
4103,1,19,4351,17
4104,1,17,12078,13
4121,1,5,12981,12
4132,1,4,8560,20
4153,1,19,1059,5
4172,1,10,3047,17
4180,1,13,3138,14
4199,1,11,10638,14
4203,1,3,7388,4
4205,1,2,2516,3
4206,1,7,8487,13
4214,1,12,9878,5
4219,1,3,2141,2
4259,1,3,6354,1
4309,1,4,8050,16
4335,1,4,6274,18
4362,1,7,10718,7
4370,1,11,4541,13
4415,1,6,9956,11
4452,1,6,10198,6
4467,1,6,11779,1
4474,1,3,11566,1
4480,1,8,5793,9
4503,1,3,2880,2
4507,1,2,7813,11
4512,1,10,11380,15
4514,1,7,9054,5
4520,1,3,7614,15
4542,1,5,9990,5
4558,1,4,4402,11
4586,1,13,4572,16
4589,1,3,11232,8
4607,1,7,1484,9
4619,1,3,7329,6
4632,1,5,9971,9
4653,1,5,12853,18
4658,1,4,8235,16
4659,1,13,5755,20
4664,1,3,3079,19
4675,1,3,10636,16
4699,1,4,3208,17
4723,1,4,10622,4
4728,1,6,9893,18
4778,1,17,8483,3
4780,1,12,1973,18
4782,1,4,8475,1
4789,1,3,10008,16
4791,1,12,12972,17
4815,1,5,3149,8
4842,1,4,7429,20
4881,1,13,4731,10
4891,1,3,5973,17
4916,1,6,3513,16
4935,1,4,10118,11
4949,1,5,3481,10
4960,1,16,9975,17
4990,1,7,5755,10
4991,1,8,9087,1
5013,1,8,10156,10
5036,1,19,4497,11
5042,1,4,5019,20
5043,1,5,6222,5
5055,1,3,2574,13
5061,1,2,3183,3
5087,1,8,8884,16
5103,1,3,8540,18
5121,1,9,3481,4
5143,1,9,4855,15
5165,1,9,8592,19
5166,1,4,8540,1
5175,1,3,11590,7
5194,1,4,7408,16
5204,1,3,3012,10
5219,1,5,9611,12
5245,1,22,11416,8
5246,1,18,2908,10
5293,1,13,4572,10
5296,1,17,10475,6
5372,1,2,11325,13
5385,1,5,8349,20
5413,1,3,1567,4
5468,1,11,404,1
5490,1,5,7469,6
5505,1,4,3036,1
5513,1,9,11407,8
5528,1,12,10773,16
5537,1,5,9021,8
5566,1,3,2880,15
5584,1,6,8540,1
5633,1,7,3082,3
5686,1,2,6205,6
5690,1,3,4354,2
5711,1,3,4771,9
5767,1,10,4598,7
5779,1,3,3012,16
5780,1,3,7121,1
5812,1,4,9342,16
5839,1,3,1482,14
5882,1,3,4508,5
5905,1,3,3106,5
5932,1,2,9312,10
5940,1,5,11605,1
5956,1,3,7215,18
6000,1,3,8523,17
6011,1,5,4868,17
6027,1,12,9524,16
6039,1,5,2897,7
6057,1,3,9991,5
6060,1,7,5841,5
6069,1,7,4508,13
6072,1,5,12408,2
6119,1,8,10483,4
6141,1,4,6298,3
6187,1,7,4866,16
6198,1,4,1932,7
6227,1,2,8590,5
6263,1,4,8540,3
6272,1,3,1543,5
6277,1,30,7092,5
6290,1,8,4477,2
6295,1,5,7098,11
6303,1,9,5755,12
6380,1,3,8490,12
6381,1,7,6447,11
6412,1,7,10513,3
6434,1,5,12055,16
6471,1,5,4449,4
6496,1,6,4065,16
6521,1,11,13986,4
6522,1,2,5250,5
6561,1,15,7478,12
6570,1,16,10410,16
6573,1,2,4133,10
6607,1,2,1626,16
6613,1,3,8511,3
6671,1,3,3080,4
6693,1,2,12179,20
6699,1,18,1140,14
6703,1,6,9928,7
6716,1,4,8540,2
6718,1,5,4567,13
6727,1,9,13360,11
6729,1,3,8601,9
6730,1,8,7092,14
6731,1,8,10664,6
6773,1,4,8636,3
6824,1,3,1558,14
6834,1,6,4370,8
6843,1,3,4566,1
6875,1,3,12764,1
6894,1,8,3830,11
6903,1,5,12935,18
6908,1,3,4770,5
6911,1,3,8468,14
6912,1,13,13020,4
6924,1,6,9893,7
6939,1,16,11584,14
6941,1,6,3262,17
6967,1,5,2952,14
6997,1,3,8091,20
6998,1,2,10012,5
7001,1,4,2897,4
7062,1,3,9923,20
7092,1,3,3103,18
7099,1,7,11760,7
7106,1,9,2880,14
7107,1,4,8560,2
7110,1,3,8690,7
7126,1,3,11330,11
7153,1,5,9973,20
7187,1,3,11480,17
7223,1,6,10853,16
7230,1,3,1453,11
7242,1,4,12867,2
7255,1,12,3022,7
7270,1,6,6052,8
7291,1,13,8226,10
7313,1,3,8686,3
7358,1,7,6339,1
7364,1,4,12752,17
7373,1,6,3275,18
7391,1,3,2943,1
7424,1,3,6155,9
7440,1,4,9011,3
7496,1,5,4247,18
7526,1,5,10057,5
7543,1,3,7154,11
7558,1,10,5814,3
7581,1,3,11641,15
7609,1,5,9907,1
7629,1,3,5755,14
7649,1,10,4742,20
7697,1,2,6350,4
7767,1,3,8834,18
7782,1,3,10180,11
7839,1,4,7906,18
7851,1,16,8839,16
7881,1,3,5335,19
7908,1,5,5841,3
7911,1,3,11176,5
7919,1,14,4220,16
7920,1,5,10173,4
7935,1,3,2279,16
7971,1,5,4870,1
7990,1,3,3106,1
8019,1,4,11693,8
8062,1,3,11105,5
8100,1,5,3252,12
8124,1,5,4535,19
8134,1,8,3202,19
8143,1,3,4527,17
8156,1,10,3086,20
8172,1,5,5805,15
8190,1,12,3430,3
8201,1,4,7944,10
8220,1,4,11416,6
8225,1,4,12963,14
8235,1,4,3805,10
8238,1,5,11878,3
8251,1,3,9021,19
8299,1,4,11332,13
8322,1,5,5948,16
8343,1,5,4830,6
8351,1,3,13940,17
8365,1,3,7964,13
8391,1,2,6614,17
8393,1,14,3719,1
8409,1,13,4443,13
8414,1,3,6937,9
8425,1,3,2942,4
8447,1,17,11612,3
8466,1,3,8484,19
8488,1,4,8468,1
8540,1,9,12303,20
8549,1,4,9302,4
8556,1,3,8349,3
8569,1,3,8560,17
8573,1,8,13001,8
8576,1,9,5938,20
8580,1,10,5841,5
8596,1,4,7087,13
8608,1,7,12305,3
8611,1,3,6052,17
8612,1,4,5641,18
8620,1,11,4480,13
8633,1,3,8949,5
8662,1,10,13068,1
8667,1,5,3036,13
8674,1,4,11975,19
8716,1,3,6711,5
8725,1,3,7122,6
8767,1,3,5892,9
8805,1,10,1768,16
8809,1,15,8015,4
8816,1,5,3915,9
8861,1,5,6959,13
8872,1,3,8993,8
8913,1,7,11341,2
8919,1,7,2820,7
8936,1,14,6094,11
8952,1,10,13344,8
8957,1,3,4706,5
9007,1,4,10381,2
9022,1,3,2168,5
9041,1,8,3012,14
9053,1,2,5029,14
9057,1,3,3036,3
9103,1,4,5998,6
9135,1,9,1889,8
9140,1,4,10773,4
9173,1,15,1371,14
9182,1,8,7447,17
9185,1,3,8484,15
9193,1,10,2405,5
9248,1,7,2942,6
9262,1,4,11958,4
9264,1,2,7742,15
9278,1,12,3293,8
9295,1,4,3364,13
9306,1,11,11193,16
9307,1,3,9885,4
9330,1,7,6420,1
9345,1,8,2355,16
9358,1,8,4315,3
