entity_name remap_id
"Mexican tacos" 238
"tacos" 239
"modern" 240
"clean" 241
"welcoming" 242
"complimentary drinks" 243
"mimosas" 244
"champagne" 245
"excellent customer service" 246
"flawless nail services" 247
"last-minute appointments" 248
"efficient blowouts" 249
"Beauty salon" 250
"brewery tours" 251
"samples" 252
"guides" 253
"hands-on experience" 254
"history" 255
"brewing process" 256
"authentic flavors" 257
"ethnic ambiance" 258
"lunch buffet" 259
"buffet" 260
"Nashville" 261
"yes" 262
"bakery items" 263
"long wait times" 264
"spicy Bianca pizza" 265
"honey" 266
"Breakfast restaurant" 267
"Brunch restaurant" 268
"organic" 269
"gluten-free" 270
"vegan" 271
"variety of specialty items" 272
"grocery section" 273
"market" 274
"ice cream" 275
"soft serve" 276
"hard ice cream" 277
"ice cream shop" 278
"Drive-up ice cream shop" 279
"Fans of nostalgic 50s/60s drive-up ice cream shops" 280
"Bala Cynwyd" 281
"vegetarian" 282
"fresh options" 283
"customizable options" 284
"convenient options" 285
"vegetarian choices" 286
"vegan choices" 287
"Hotel & Casino" 288
"dining options" 289
"entertainment" 290
"slot machines" 291
"bars" 292
"DJ events" 293
"late-night options" 294
"casino" 295
"hotel" 296
"entertainment venue" 297
"wine bar" 298
"cheese" 299
"meats" 300
"excellent wine selection" 301
"charming setting" 302
"Wine enthusiasts" 303
"Cheese lovers" 304
"Meat lovers" 305
"Saint Louis" 306
"fine dining" 307
"customized dining experiences" 308
"wine pairings" 309
"classic" 310
"Hudson" 311
"beach bar" 312
"sunsets" 313
"live entertainment" 314
"scenic view" 315
"families" 316
"couples" 317
"music" 318
"Beach bar enthusiasts" 319
"Wayne" 320
"tasty treats" 321
"coffee options" 322
"People who appreciate a cozy atmosphere" 323
"People who appreciate friendly staff" 324
"People who enjoy breakfast" 325
"People who enjoy lunch" 326
"fair trade coffee" 327
"cool ambiance" 328
"comfy seating" 329
"Socially responsible business" 330
"Coffee drinkers" 331
"Fair trade coffee enthusiasts" 332
"coffee shop" 333
"Santa Barbara" 334
"homey" 335
"rustic charm" 336
"relaxed atmosphere" 337
"Vegetarian restaurant" 338
"Vegan restaurant" 339
"plant-based burger" 340
"quick service" 341
"bustling" 342
"Vegetarian lovers" 343
"Vegan lovers" 344
"quick meal" 345
"Families with small children" 346
"grilled cheese sandwiches" 347
"sandwiches" 348
"accommodating service for children" 349
"Fountain drinks" 350
"beverages" 351
"unique fountain drinks" 352
"without additives" 353
"Fine dining restaurant" 354
"intimate setting" 355
"exceptional service" 356
"Fine dining enthusiasts" 357
"Culinary experience seekers" 358
"Treasure Island" 359
"pet-friendly dining" 360
"pet owners" 361
"Casual dining enthusiasts" 362
"small plates" 363
"noodles" 364
"flavorful broths" 365
"generous meat portions" 366
"Group diners" 367
"Tasty meal" 368
"pub" 369
"Pub patrons" 370
"tapas" 371
"lively" 372
"Tapas enthusiasts" 373
"Edmonton" 374
"bbq" 375
"BBQ enthusiasts" 376
"Fishers" 377
"Sports atmosphere" 378
"excellent service" 379
"Clearwater" 380
"outdoor dining" 381
"quaint" 382
"People with dietary restrictions" 383
"nature enthusiasts" 384
"media" 385
"vibrant dining experience" 386
"professional service" 387
"festive" 388
"diverse options" 389
"Fans of festive atmospheres" 390
"service seekers" 391
"Diners" 392
"Attention to detail in decor" 393
"Proactive staff" 394
"Chinese" 395
"asian fusion" 396
"sushi" 397
"Fans of Chinese" 398
"fans of asian fusion" 399
"fans of sushi" 400
"AYCE sushi" 401
"doughssants" 402
"French toasts" 403
"bloody marys" 404
"cocktail" 405
"Lively culinary experience" 406
"Ballwin" 407
"wide variety" 408
"welcoming environment" 409
"waterfront" 410
"upscale" 411
"romantic setting" 412
"trendy waterfront areas" 413
"upscale bars" 414
"variety of tapas" 415
"Devon" 416
"donuts" 417
"Donut" 418
"bagel" 419
"breakfast sandwiches" 420
"Breakfast sandwich" 421
"tasty" 422
"delicious" 423
"newly popular" 424
"understaffed" 425
"Dunedin" 426
"great service" 427
"American" 428
"dessert" 429
"Creme brulee" 430
"mac and cheese" 431
"Short rib grilled cheese" 432
"Asian nachos" 433
"comfortable atmosphere" 434
"dinner" 435
"happy hour" 436
"celebrations" 437
"unique menu items" 438
"generous portion sizes" 439
"Smoked Salmon Frittata" 440
"Tamal Corn Cakes" 441
"Enchiladas de Pato" 442
"Chimichurri Skirt Steak" 443
"signature cocktails" 444
"good drink options" 445
"no-reservation policy" 446
"Seating issues" 447
"unfiltered beer" 448
"hoppy double IPA" 449
"double IPA" 450
"complex brew" 451
"brew" 452
"pirogi" 453
"kielbasa" 454
"variety" 455
"unique" 456
"reasonable price" 457
"cash-only payments" 458
"frozen yogurt" 459
"yogurt" 460
"wide variety of flavors" 461
"toppings" 462
"Fans of frozen yogurt" 463
"Fun atmosphere enthusiasts" 464
"Quality treats lovers" 465
"steak" 466
"carne asada" 467
"guacamole" 468
"service issues" 469
"gourmet burgers" 470
"trendy" 471
"quality ingredients" 472
"varied burger options" 473
"beers" 474
"variety of drinks" 475
"craft beer enthusiasts" 476
"casual upscale" 477
"watch a game" 478
"relaxing" 479
"pediatric care" 480
"Hospital" 481
"Children's Hospital" 482
"dedicated staff" 483
"warm staff" 484
"clean facilities" 485
"engaging amenities" 486
"secure environment" 487
"Parents" 488
"Industry professionals" 489
"families with young children" 490
"stunning views" 491
"laid-back setting" 492
"Hip hop vibe" 493
"gelato" 494
"wings" 495
"local delivery" 496
"prompt delivery" 497
"Pizza restaurant" 498
"pizza lovers" 499
"upscale dining" 500
"craft cocktails" 501
"vibrant bar scene" 502
"swanky" 503
"special occasions" 504
"corporate events" 505
"impressive service" 506
"frozen custard" 507
"custard" 508
"neighborhood" 509
"Fans of unique flavors" 510
"Fans of mix-ins" 511
"health-conscious customers" 512
"Custard lovers" 513
"Frozen yogurt fans" 514
"University City" 515
"chicken soup" 516
"Queso fundido" 517
"festive atmosphere" 518
"Spanish music" 519
"Mexican restaurant" 520
"Mexican" 521
"tex-mex" 522
"unlimited drinks" 523
"sashimi" 524
"Fish Wings" 525
"Salmon Skin hand rolls" 526
"friendly and interactive chefs" 527
"fresh sushi" 528
"tasty sushi" 529
"high-quality sashimi" 530
"sushi lovers" 531
"Sushi restaurant" 532
"customizable toppings" 533
"speed" 534
"Tampa Bay" 535
"Airport hotel" 536
"luxury" 537
"amenities" 538
"business travelers" 539
"Conference attendees" 540
"Guests" 541
"cookies" 542
"Fans of pastries" 543
"Fans of cakes" 544
"Fans of cookies" 545
"Fans of friendly service" 546
"bakery treats" 547
"nostalgic experiences" 548
"Fans of bakery treats" 549
"coffee lovers" 550
"Nostalgia seekers" 551
"art" 552
"skateboarding culture" 553
"full bar" 554
"tasty drinks" 555
"diverse" 556
"pancakes" 557
"variety of pancake flavors" 558
"fast-paced dining experience" 559
"spa" 560
"luxury accommodations" 561
"Casino gaming" 562
"Spa services" 563
"entertainment options" 564
"Diverse amenities" 565
"Des Peres" 566
"grocery" 567
"full-service restaurant" 568
"wine department" 569
"shopping experience" 570
"in-store bank" 571
"pharmacy" 572
"diverse selection" 573
"Wine shop" 574
"Bank" 575
"gooey butter cake" 576
"Italian" 577
"welcoming service" 578
"neighborhood vibe" 579
"reasonable prices" 580
"high-quality coffee" 581
"rich flavors" 582
"variety of coffee options" 583
"European-style" 584
"long lines" 585
"limited seating" 586
"Coffee enthusiasts" 587
"Saint Pete Beach" 588
"efficient" 589
"reasonable pricing" 590
"catering" 591
"relaxed" 592
"Fans of hearty sandwiches" 593
"Fans of generous portions" 594
"ramen" 595
"spacious seating" 596
"ramen enthusiasts" 597
"families with kids" 598
"Individuals seeking fair prices" 599
"Individuals seeking large portions" 600
"bread" 601
"salads" 602
"freshly baked bread" 603
"tasty salads" 604
"dive bar" 605
"cold beers" 606
"BBQ lovers" 607
"Dive bar enthusiasts" 608
"Clearwater Beach" 609
"lively beach setting" 610
"hearty" 611
"market setting" 612
"convenient" 613
"reasonable" 614
"Fans of sandwiches" 615
"lunch specials" 616
"customers" 617
"trendy jewelry" 618
"unique jewelry" 619
"home decor" 620
"gifts" 621
"quirky items" 622
"jewelry" 623
"watchful staff" 624
"bookstore" 625
"Nonprofit" 626
"used books" 627
"adult literacy" 628
"rare titles" 629
"Book lovers" 630
"Children's books" 631
"community events" 632
"literacy" 633
"historic ambiance" 634
"decent" 635
"overall recommended" 636
"romantic dinners" 637
"BBQ shrimp" 638
"jazz music" 639
"Cajun/Creole" 640
"Malvern" 641
"average service" 642
"noise issues" 643
"Mexican dining" 644
"Tarpon Springs" 645
"gyro" 646
"Spanokopita" 647
"fresh" 648
"limited parking" 649
"Live music enthusiasts" 650
"budget diners" 651
"Hidden gem seekers" 652
"Beachfront resort" 653
"vibrant nightlife" 654
"Young adults" 655
"Resort" 656
"Malaysian" 657
"Cambodian" 658
"fast service" 659
"chicken satay" 660
"roti canai" 661
"beef rendang" 662
"dish" 663
"bubble tea" 664
"beverage" 665
"diverse menu options" 666
"Fans of bubble tea" 667
"affordable drinks" 668
"pub grub" 669
"hole-in-the-wall" 670
"karaoke nights" 671
"decent drinks" 672
"Fans of dive bars" 673
"People seeking attentive service" 674
"People seeking lively atmosphere" 675
"hearty meals" 676
"flavorful meals" 677
"cozy dining" 678
"reservations" 679
"vegetarian options" 680
"Vegetarian diners" 681
"desserts" 682
"Individuals who appreciate high-quality baked goods" 683
"lobster" 684
"great prices" 685
"biscuits & gravy" 686
"tropical view" 687
"mole sauce" 688
"spicy entrees" 689
"creative dining" 690
"Inspired dining" 691
"chill" 692
"great music" 693
"locals" 694
"visitors" 695
"Lively neighborhood" 696
"fish" 697
"fish tank" 698
"menus" 699
"innovative menus" 700
"VIP experiences" 701
"unique features" 702
"Sylvan Park" 703
"Fans of burgers" 704
"Fans of vibrant atmosphere" 705
"spicy" 706
"menu options" 707
"forgiving decor" 708
"individual dining" 709
"group dining" 710
"delivery" 711
"takeout" 712
"wait time" 713
"flavorful options" 714
"variety of menu choices" 715
"family dining" 716
"lounge" 717
"nightlife" 718
"Burger restaurant" 719
"multiple locations" 720
"pleasant staff" 721
"Asian restaurant" 722
"Conveyor belt restaurant" 723
"variety of options" 724
"conveyor belt" 725
"mall" 726
"Fans of conveyor belt restaurants" 727
"Saint Petersburg" 728
"personalized service" 729
"coffee blends" 730
"unique coffee blends" 731
"lodge" 732
"Sports watching" 733
"sports enthusiasts" 734
"Individuals seeking lively atmosphere" 735
"Bensalem" 736
"steaks" 737
"ribs" 738
"meat" 739
"baked goods" 740
"steakhouse" 741
"duck" 742
"panang curry" 743
"Thai restaurant" 744
"salsa" 745
"sauce" 746
"Quesadilla" 747
"Avocado Bacon Quesadilla" 748
"menu items" 749
"creative menu" 750
"variety of salsa" 751
"good value" 752
"BYO option" 753
"duck appetizer" 754
"short rib" 755
"warm" 756
"focused menu" 757
"great quality coffee" 758
"helpful" 759
"omelets" 760
"Price-sensitive diners" 761
"Diners seeking variety" 762
"cupcakes" 763
"creamy frosting" 764
"fun decor" 765
"expensive" 766
"Cupcake enthusiasts" 767
"People who appreciate variety" 768
"People who like creamy frosting" 769
"People who enjoy friendly service" 770
"People who don't mind high prices" 771
"People who like fun decor" 772
"On The Hill" 773
"gatherings" 774
"friends" 775
"Co-workers" 776
"kid-friendly environment" 777
"HD Video Wall" 778
"Video Wall" 779
"visual experience" 780
"large-scale displays" 781
"free entertainment" 782
"immersive experience" 783
"Experience seekers" 784
"Crowd tolerators" 785
"vintage" 786
"dates" 787
"Tourist crowds" 788
"occasional service issues" 789
"mead" 790
"cider" 791
"Beverage establishment" 792
"local artisans" 793
"charities" 794
"variety of events" 795
"Trying different flavors" 796
"community atmosphere" 797
"Fans of mead" 798
"Fans of cider" 799
"fans of cocktails" 800
"dining experience" 801
"tasting menus" 802
"dining" 803
"variety of courses" 804
"excellent wine pairings" 805
"waterfront views" 806
"drink options" 807
"traditional Japanese dining" 808
"specialty rolls" 809
"Japanese restaurant" 810
"Boise" 811
"Vietnamese sandwiches" 812
"pho" 813
"milk tea" 814
"Vietnamese restaurant" 815
"sandwich shop" 816
"St. Louis" 817
"community" 818
"family-friendly atmosphere" 819
"drink specials" 820
"People seeking community" 821
"Drink enthusiasts" 822
"family-friendly environment" 823
"local gem" 824
"people watching" 825
"Low key dates" 826
"Sunday Funday" 827
"jazz vibe" 828
"Fans of live music" 829
"gastropub" 830
"simple" 831
"authentic offerings" 832
"Fans of fried chicken" 833
"Fans of donuts" 834
"hibachi" 835
"all-you-can-eat" 836
"dining deal" 837
"Fans of hibachi" 838
"Good deal seekers" 839
"Diners with diverse preferences" 840
"Oro Valley" 841
"enchiladas" 842
"Carne seca" 843
"colorful" 844
"Safety Harbor" 845
"family-run" 846
"country vibe" 847
"brunch spot" 848
"wait for a table" 849
"hip staff" 850
"cash-only" 851
"fun night out" 852
"Mini vacation experience" 853
"diverse crowd" 854
"nightlife venue" 855
"stiff drinks" 856
"alcoholic beverages" 857
"decent beer selection" 858
"Varied music genres" 859
"hipsters" 860
"Metal fans" 861
"lively nightlife" 862
"Alternative nightlife" 863
"quesadillas" 864
"Campechana" 865
"refreshing" 866
"balance of flavors" 867
"Seminole" 868
"diner fare" 869
"Fans of diner fare" 870
"Fans of breakfast" 871
"artsy" 872
"Facilities" 873
"Hip vibe" 874
"Guests who appreciate modern accommodations" 875
"Guests who appreciate artsy accommodations" 876
"Guests who appreciate upscale accommodations" 877
"calzones" 878
"Calzone" 879
"spacious" 880
"community-oriented" 881
"good customer service" 882
"Runnemede" 883
"24-hour breakfast" 884
"menu" 885
"vintage decor" 886
"breakfast lovers" 887
"scenic outdoor dining" 888
"river view" 889
"Outdoor dining lovers" 890
"stout" 891
"saison" 892
"board games" 893
"darts" 894
"beer enthusiasts" 895
"family" 896
"cozy neighborhood spot" 897
"bibimbap" 898
"kimchi" 899
"Ybor City" 900
"tea" 901
"quality coffee" 902
"unique selection of items" 903
"casual pub" 904
"craft beer lovers" 905
"Pub atmosphere enthusiasts" 906
"unique event spaces" 907
"view" 908
"locally brewed beer" 909
"event spaces" 910
"pad kra pao" 911
"dining atmosphere" 912
"Upscale restaurant" 913
"extensive drink options" 914
"rooftop dining" 915
"great ambiance" 916
"Fans of upscale dining" 917
"Wesley Chapel" 918
"paninis" 919
"Café" 920
"Italian restaurant" 921
"Dairy-free dessert" 922
"curries" 923
"creative beverages" 924
"Lovers of curries" 925
"convenient locations" 926
"pleasant service" 927
"bread pudding" 928
"shrimp po'boy" 929
"sandwich" 930
"customizable" 931
"high-quality" 932
"fun" 933
"pleasant" 934
"good drinks" 935
"Brandon" 936
"varieties" 937
"vibrant atmosphere" 938
"pizzas" 939
"Gourmet pizzas" 940
"modern twist" 941
"Fans of salads" 942
"Fans of soups" 943
"Fans of pizzas" 944
"interesting and adventurous" 945
"unique flavor combinations" 946
"classy" 947
"family-owned" 948
"specialty coffee" 949
"chai options" 950
"alternative milk choices" 951
"GF options" 952
"Luxury hotel" 953
"beautiful gardens" 954
"events" 955
"multiple dining options" 956
"shopping options" 957
"river tours" 958
"stunning indoor decor" 959
"Event attendees" 960
"Shopping enthusiasts" 961
"unique atmosphere" 962
"belly dancing" 963
"Fans of adventurous dining" 964
"People looking for lively, engaging meal" 965
"Ethiopian" 966
"Transitioning to vegetarian" 967
"leisurely dining" 968
"American restaurant" 969
"Cajun/Creole restaurant" 970
"lovely" 971
"group-friendly" 972
"special deals" 973
"Valrico" 974
"sushi rolls" 975
"enjoyable dining experience" 976
"bistro" 977
"farm-to-table" 978
"relaxed dining" 979
"Southern" 980
"Non-sushi options" 981
"sushi enthusiasts" 982
"Vegetarian customers" 983
"Non-sushi customers" 984
"Greasy burgers" 985
"customization options" 986
"tasty burgers" 987
"locally owned" 988
"bustling city" 989
"Burger lovers" 990
"Locally owned businesses" 991
"Comedy club" 992
"live comedy shows" 993
"well-known comedians" 994
"up-and-coming comedians" 995
"two-item minimum purchase" 996
"Comedy enthusiasts" 997
"comedy shows" 998
"Dessert spot" 999
"romantic" 1000
"cozy ambience" 1001
"special treats" 1002
"outstanding service" 1003
"high" 1004
"fans of desserts" 1005
"Fans of romantic spots" 1006
"People seeking unique desserts" 1007
"gastropub fare" 1008
"trendy nightlife vibes" 1009
"hanging out with friends" 1010
"casual dates" 1011
"wide selection of beers" 1012
"tasty bites" 1013
"diverse beer" 1014
"karaoke" 1015
"Singing" 1016
"dancing" 1017
"Patrons" 1018
"kabobs" 1019
"underground setting" 1020
"St. Pete Beach" 1021
"Fans of cafes" 1022
"Fans of coffee" 1023
"friendly taproom" 1024
"pint nights" 1025
"Willing to spend more" 1026
"Carmel" 1027
"Fans of staff" 1028
"Cozy atmosphere seekers" 1029
"Casual drinking" 1030
"late-night diners" 1031
"grocery shopping" 1032
"good sense of humor" 1033
"service" 1034
"Friends gathering" 1035
"soup" 1036
"salad" 1037
"healthy choices" 1038
"local ingredients" 1039
"seasonal ingredients" 1040
"elegant ambiance" 1041
"Sunday brunch" 1042
"experience" 1043
"breakfast items" 1044
"chocolate chip pancakes" 1045
"strawberry pancakes" 1046
"Pancake restaurant" 1047
"diverse beer selection" 1048
"pet-friendly atmosphere" 1049
"Dog lovers" 1050
"clean and cozy" 1051
"interesting menu options" 1052
"Sabino Canyon" 1053
"Nature attraction" 1054
"hiking" 1055
"exploring nature" 1056
"learning about flora and fauna" 1057
"diverse hiking trails" 1058
"trams" 1059
"scenic picnics" 1060
"year-long access" 1061
"outdoor enthusiasts" 1062
"nature lovers" 1063
"tourists" 1064
"English pub" 1065
"Relaxing evening" 1066
"Fans of English pubs" 1067
"Friendly staff lovers" 1068
"ever-changing menu" 1069
"Boothwyn" 1070
"sides" 1071
"unique options" 1072
"adventurous options" 1073
"arcade games" 1074
"arcade" 1075
"nostalgia" 1076
"retro vibes" 1077
"friendly bartenders" 1078
"gamers" 1079
"80's kids" 1080
"Arcade bar" 1081
"cheeses" 1082
"knowledgeable" 1083
"high-quality cheeses" 1084
"Chicago style pizza" 1085
"dive bars" 1086
"Fans of Chicago style pizza" 1087
"Fans of unique toppings" 1088
"Fans of arcade games" 1089
"drink" 1090
"good drink selections" 1091
"casual pub atmosphere" 1092
"lomo saltado" 1093
"ceviche" 1094
"Peruvian restaurant" 1095
"fajitas" 1096
"chimichangas" 1097
"attentive wait staff" 1098
"strong margaritas" 1099
"delicious fajitas" 1100
"delicious chimichangas" 1101
"Rivergate/Madison" 1102
"Viet grilled sandwich" 1103
"crab rangoons" 1104
"shrimp & pork noodle soup" 1105
"creative" 1106
"wide beverage choices" 1107
"specialty menu items" 1108
"quick caffeine fix" 1109
"Fans of coffee shops" 1110
"Thai-style rolled ice cream" 1111
"Fans of dessert" 1112
"Fans of ice cream" 1113
"Fans of Thai-style rolled ice cream" 1114
"Clayton" 1115
"nice atmosphere" 1116
"cycling classes" 1117
"fitness center" 1118
"high-energy" 1119
"lively instructors" 1120
"themed rides" 1121
"supportive community" 1122
"beginners" 1123
"Experienced riders" 1124
"variety of workouts" 1125
"beignets" 1126
"jazz" 1127
"gourmet pizza" 1128
"hip" 1129
"communal dining" 1130
"Fans of gourmet pizza" 1131
"comfortable environment" 1132
"spice level alterations" 1133
"Chinese restaurant" 1134
"fresh toppings" 1135
"Taco lovers" 1136
"interactive experiences" 1137
"singing along" 1138
"lively crowd" 1139
"Fans of vibrant atmospheres" 1140
"Fans of interactive experiences" 1141
"Cookie Dough" 1142
"Sweet treat" 1143
"simple menu" 1144
"delicious menu" 1145
"Price-conscious customers" 1146
"consistency" 1147
"Loyal customers" 1148
"reliable" 1149
"moderate prices" 1150
"cozy diner" 1151
"brunch enthusiasts" 1152
"Breakfast spot" 1153
"diverse wine selection" 1154
"Vito the mooch" 1155
"High-end steak lovers" 1156
"Fans of classic old-school dining" 1157
"Supper club enthusiasts" 1158
"Fans of sports bar" 1159
"local, friendly vibe" 1160
"Palm Harbor" 1161
"customizable orders" 1162
"Chicken Basil" 1163
"Chicken Panang Curry" 1164
"quiet lunch spot" 1165
"decent prices" 1166
"Cannoli lovers" 1167
"Pastry enthusiasts" 1168
"NY-style pizza" 1169
"generous toppings" 1170
"quality service" 1171
"NY-style pizza fans" 1172
"homemade flavors" 1173
"sample different flavors" 1174
"half scoops" 1175
"ice cream enthusiasts" 1176
"Flavor lovers" 1177
"plant-based options" 1178
"Philly cheesesteaks" 1179
"vegan versions" 1180
"vegans" 1181
"Chicago-style deep dish pizza" 1182
"Fans of cozy atmosphere" 1183
"American fare" 1184
"good prices" 1185
"Fans of casual American fare" 1186
"Nightlife enthusiasts" 1187
"People seeking welcoming atmosphere" 1188
"emergency veterinary care" 1189
"Veterinary hospital" 1190
"premium services" 1191
"patience" 1192
"margarita" 1193
"Lively group dining" 1194
"socializing" 1195
"unwinding" 1196
"Fans of flavorful Tex-Mex" 1197
"shrimp" 1198
"homemade tortillas" 1199
"pickled onions" 1200
"Museum" 1201
"children's museum" 1202
"interactive exhibits" 1203
"educational exhibits" 1204
"hands-on exhibits" 1205
"Dinosphere" 1206
"Train's exhibit" 1207
"Fireworks of Glass" 1208
"kids" 1209
"Anyone interested in learning" 1210
"Lively atmosphere seekers" 1211
"Those who enjoy good service" 1212
"Those willing to pay more" 1213
"quality drinks" 1214
"Caterers" 1215
"transportation" 1216
"historic architecture" 1217
"spacious seating areas" 1218
"modern amenities" 1219
"Train station" 1220
"Travelers" 1221
"Commuters" 1222
"nostalgic" 1223
"meals" 1224
"soulful meals" 1225
"home-cooked meals" 1226
"ample seating" 1227
"unique decor" 1228
"French Quarter" 1229
"art-themed" 1230
"French restaurant" 1231
"impressive wine list" 1232
"Romantic date" 1233
"packed" 1234
"wine flights" 1235
"Dietary preferences" 1236
"handcrafted margaritas" 1237
"Fans of handcrafted margaritas" 1238
"Personalized guacamole" 1239
"Cozy lounge environment" 1240
"Great happy hour specials" 1241
"noise levels" 1242
"wait times" 1243
"thin-crust pizza" 1244
"sweet sauce" 1245
"pepperoni" 1246
"Ledo Pizza" 1247
"St. Louis style pizza" 1248
"accommodating service" 1249
"macaroni and cheese" 1250
"chicken and waffles" 1251
"brisket sandwiches" 1252
"fries" 1253
"Nice environment" 1254
"Franklin" 1255
"attentive staff" 1256
"Steak lovers" 1257
"American Southern BBQ" 1258
"BBQ sauce" 1259
"sauces" 1260
"yellow rice" 1261
"potato salad" 1262
"homemade" 1263
"must-try" 1264
"affordable sushi" 1265
"quality sushi" 1266
"unique selections" 1267
"unique pizza flavors" 1268
"high-quality wings" 1269
"convenient prices" 1270
"East Falls" 1271
"wood-fired pizza" 1272
"creative toppings" 1273
"intimate dining" 1274
"juice" 1275
"juice bar" 1276
"cute" 1277
"indoor seating" 1278
"coal-fired pizza" 1279
"slightly burnt edge" 1280
"Fans of delicious coal-fired pizza" 1281
"thin crust pizza" 1282
"pizza with unique toppings" 1283
"prosciutto" 1284
"eggplant" 1285
"broccoli rabe" 1286
"liquor" 1287
"helpful staff recommendations" 1288
"ordering for special occasions" 1289
"Liquor enthusiasts" 1290
"Various" 1291
"delicious sushi" 1292
